CITY_MARKET_ID,value,AIRPORT,CITY_NAME
31703,0.1257774685958212,"{'EWR', 'LGA', 'TSS', 'JFK', 'JRA', 'HPN', 'SWF', 'JRB', 'ISP'}","{'Islip, NY', 'Newburgh/Poughkeepsie, NY', 'White Plains, NY', 'New York, NY', 'Newark, NJ'}"
30977,0.12347130996265147,"{'DPA', 'ORD', 'LOT', 'GYY', 'MDW', 'PWK'}","{'Gary, IN', 'Chicago, IL', 'Chicago/Romeoville, IL'}"
30194,0.12003387090628365,"{'DFW', 'ADS', 'DAL', 'AFW', 'RBD', 'FWH', 'FTW'}","{'Dallas, TX', 'Fort Worth, TX', 'Dallas/Fort Worth, TX'}"
30852,0.11869527856771513,"{'BWI', 'MTN', 'DCA', 'IAD'}","{'Washington, DC', 'Baltimore, MD'}"
30397,0.11649235985022263,"{'PDK', 'ATL', 'QMA', 'FTY'}","{'Atlanta, GA', 'Kennesaw, GA'}"
30325,0.1129720734528193,"{'DEN', 'APA', 'BFK'}","{'Aurora, CO', 'Denver, CO'}"
32575,0.11028158387976157,"{'SMO', 'ONT', 'VNY', 'LAX', 'HHR', 'BUR', 'LGB', 'SNA'}","{'Burbank, CA', 'Santa Monica, CA', 'Long Beach, CA', 'Ontario, CA', 'Santa Ana, CA', 'Hawthorne, CA', 'Van Nuys, CA', 'Los Angeles, CA'}"
31057,0.10685573214895998,{'CLT'},"{'Charlotte, NC'}"
31650,0.1067877634355354,"{'MN7', 'FCM', 'STP', 'MSP'}","{'Minneapolis, MN', 'Minneapolis/St. Paul, MN'}"
32467,0.10430096465420395,"{'OPF', 'MIA', 'FXE', 'MPB', 'TMB', 'FLL'}","{'Fort Lauderdale, FL', 'Miami, FL'}"
30466,0.1039128011876869,"{'GYR', 'AZ3', 'AZA', 'PHX', 'SCF', 'DVT'}","{'Phoenix, AZ', 'Glendale, AZ', 'Goodyear, AZ'}"
30693,0.1035773600115049,"{'TN8', 'BNA'}","{'Nashville, TN'}"
30721,0.10112259091054582,"{'PVD', 'BOS', 'MHT'}","{'Manchester, NH', 'Boston, MA', 'Providence, RI'}"
31453,0.10039125772498088,"{'DWH', 'HOU', 'EFD', 'IAH', 'JDX'}","{'Houston, TX'}"
30198,0.10004972793379362,"{'AGC', 'PIT', 'PA6'}","{'Pittsburgh, PA'}"
32211,0.09991947756417924,"{'HSH', 'LSV', 'LAS'}","{'Las Vegas, NV'}"
31295,0.09876211905324221,"{'DET', 'YIP', 'DTW'}","{'Detroit, MI'}"
33195,0.09869864944048719,"{'LAL', 'PIE', 'TPA'}","{'Tampa, FL', 'St. Petersburg, FL', 'Lakeland, FL'}"
32457,0.09834228898620674,"{'SFO', 'OAK', 'CCR', 'SJC'}","{'San Jose, CA', 'San Francisco, CA', 'Oakland, CA', 'Concord, CA'}"
34100,0.09695029257826471,"{'WKV', 'PNE', 'PHL', 'P2A'}","{'Philadelphia, PA'}"
30559,0.09595340115189899,"{'KEH', 'BFI', 'SEA', 'LKE'}","{'Seattle, WA', 'Kenmore, WA'}"
31454,0.09502069331043789,"{'ISM', 'MCO', 'ORL'}","{'Orlando, FL'}"
32337,0.09338246638229493,"{'IN2', 'MQJ', 'IND'}","{'Indianapolis, IN'}"
31066,0.09271563335374904,"{'LCK', 'OSU', 'CMH'}","{'Columbus, OH'}"
34492,0.09194608127371465,{'RDU'},"{'Raleigh/Durham, NC'}"
34614,0.09000192710970246,{'SLC'},"{'Salt Lake City, UT'}"
31123,0.08928533811371432,"{'STL', 'ALN', 'CPS', 'SUS'}","{'Alton, IL', 'St. Louis, MO'}"
30423,0.08819338915142923,"{'AUS', 'T4X'}","{'Austin, TX'}"
33342,0.08752609304613809,{'MKE'},"{'Milwaukee, WI'}"
33198,0.08744174063599451,"{'MKC', 'MCI'}","{'Kansas City, MO'}"
30647,0.08735003671338795,"{'BKL', 'CLE', 'CGF', 'CAK'}","{'Akron, OH', 'Cleveland, OH'}"
33570,0.08724055548183858,"{'SEE', 'NKX', 'SDM', 'NZY', 'SAN', 'MYF'}","{'San Diego, CA'}"
34057,0.08675945710373932,{'PDX'},"{'Portland, OR'}"
33244,0.08593827045748205,"{'NQA', 'MEM'}","{'Memphis, TN', 'Millington, TN'}"
35167,0.08561210791900652,{'TEB'},"{'Teterboro, NJ'}"
33495,0.08496435110429822,"{'MSY', 'NEW'}","{'New Orleans, LA'}"
33214,0.08414315404491338,"{'SKF', 'SAT'}","{'San Antonio, TX'}"
30615,0.08386542302188799,"{'BIF', 'ELP'}","{'El Paso, TX'}"
33044,0.08249314020660443,{'SDF'},"{'Louisville, KY'}"
33851,0.08174616675249734,"{'TIK', 'PWA', 'OKC'}","{'Oklahoma City, OK'}"
33192,0.08084117299812686,"{'MCC', 'SMF', 'SAC', 'MHR'}","{'Sacramento, CA'}"
30529,0.08080822668370956,"{'BDL', 'HFD'}","{'Hartford, CT'}"
30140,0.08013093834887458,{'ABQ'},"{'Albuquerque, NM'}"
33105,0.07989946874149101,"{'CVG', 'LUK'}","{'Cincinnati, OH'}"
33316,0.079330831670197,"{'OMA', 'OFF'}","{'Omaha, NE'}"
30590,0.07867614584071318,{'IFP'},"{'Bullhead City, AZ'}"
30994,0.07717541565353749,{'CHS'},"{'Charleston, SC'}"
33667,0.07701254287421053,"{'PHF', 'ORF', 'LFI', 'NGU', 'VA9'}","{'Newport News/Hampton, VA', 'Newport News/Williamsburg, VA', 'Norfolk, VA'}"
30257,0.07548715514813567,{'ALB'},"{'Albany, NY'}"
30792,0.07523361416010681,{'BUF'},"{'Buffalo, NY'}"
34653,0.07437247509445027,{'TUL'},"{'Tulsa, OK'}"
31136,0.0743144412129356,"{'CRG', 'NIP', 'JAX', 'VQQ'}","{'Jacksonville, FL'}"
30436,0.07427935312370902,"{'AVW', 'TUS', 'DMA'}","{'Tucson, AZ'}"
34027,0.074266713661628,{'PBI'},"{'West Palm Beach/Palm Beach, FL'}"
34570,0.07414695656925774,{'RNO'},"{'Reno, NV'}"
31714,0.07408268327030508,"{'FMY', 'RSW'}","{'Fort Myers, FL'}"
30599,0.0738599901500418,{'BHM'},"{'Birmingham, AL'}"
31986,0.07346792043586897,{'GRR'},"{'Grand Rapids, MI'}"
34524,0.07292504015443044,"{'VA5', 'VA8', 'RIC'}","{'Richmond, VA'}"
34761,0.07284417952968081,{'SFB'},"{'Sanford, FL'}"
31884,0.07274643660738929,{'GEG'},"{'Spokane, WA'}"
32896,0.07183752664451085,{'LBB'},"{'Lubbock, TX'}"
30713,0.07172591509817974,{'BOI'},"{'Boise, ID'}"
32600,0.07009175959421453,{'LIT'},"{'Little Rock, AR'}"
31871,0.06948004141252812,"{'GDC', 'GSP'}","{'Greer, SC', 'Greenville, SC'}"
34819,0.06911626591386541,"{'SIG', 'SJU'}","{'San Juan, PR'}"
31973,0.06806996027180413,{'GPT'},"{'Gulfport/Biloxi, MS'}"
33158,0.06684214023855439,{'MAF'},"{'Midland/Odessa, TX'}"
31423,0.06601807138542069,{'DSM'},"{'Des Moines, IA'}"
34576,0.06438471972656619,{'ROC'},"{'Rochester, NY'}"
34321,0.060476971756443676,{'PWM'},"{'Portland, ME'}"
33485,0.05936068228114097,{'MSN'},"{'Madison, WI'}"
30279,0.05886272910105187,{'AMA'},"{'Amarillo, TX'}"
30928,0.05878874947264708,"{'ICT', 'IAB'}","{'Wichita, KS'}"
30299,0.05845586158942051,"{'ANC', 'MRI', 'DQL', 'EDF'}","{'Anchorage, AK'}"
32206,0.058320338418026196,{'HRL'},"{'Harlingen/San Benito, TX'}"
31481,0.058080103239148445,"{'PAM', 'ECP'}","{'Panama City, FL'}"
30540,0.05800562094794338,{'BED'},"{'Bedford, MA'}"
30158,0.05746059540893838,{'ACY'},"{'Atlantic City, NJ'}"
34696,0.05690827611853311,{'SBN'},"{'South Bend, IN'}"
35096,0.0563774414883198,{'SYR'},"{'Syracuse, NY'}"
31135,0.05475349836715903,"{'CRE', 'MYR'}","{'Myrtle Beach, SC'}"
33728,0.05299440590656407,{'PNS'},"{'Pensacola, FL'}"
31140,0.052017292664025126,{'CRP'},"{'Corpus Christi, TX'}"
30868,0.051695229889406835,"{'MMT', 'CAE'}","{'Columbia, SC'}"
33461,0.05117836516967056,{'MQY'},"{'Smyrna, TN'}"
31834,0.050696671876952565,"{'XNA', 'FYV'}","{'Fayetteville, AR'}"
35356,0.050212663915198116,{'TTN'},"{'Trenton, NJ'}"
34685,0.04977533985894405,"{'SVN', 'SAV'}","{'Savannah, GA'}"
35412,0.049758195297495415,{'TYS'},"{'Knoxville, TN'}"
31267,0.04949873909282614,"{'DAY', 'MGY', 'FFO'}","{'Dayton, OH'}"
30189,0.049359059693406135,{'COS'},"{'Colorado Springs, CO'}"
31995,0.04914823983787072,{'GSO'},"{'Greensboro/High Point, NC'}"
31721,0.04830127524597212,{'FNT'},"{'Flint, MI'}"
32070,0.04694243593987966,"{'HAR', 'MDT'}","{'Harrisburg, PA'}"
31563,0.04610038191276758,{'ENV'},"{'Wendover, UT'}"
32134,0.04569337082019059,"{'HIK', 'HNL'}","{'Honolulu, HI'}"
34082,0.044843602777161075,{'PGD'},"{'Punta Gorda, FL'}"
33830,0.044289652316568645,{'OGG'},"{'Kahului, HI'}"
30135,0.04400005964185562,{'ABE'},"{'Allentown/Bethlehem/Easton, PA'}"
35249,0.04382520009634935,{'TLH'},"{'Tallahassee, FL'}"
30849,0.04304963803664888,{'BZN'},"{'Bozeman, MT'}"
30781,0.04300676788934908,{'BTR'},"{'Baton Rouge, LA'}"
31003,0.04286162343273307,{'CID'},"{'Cedar Rapids/Iowa City, IA'}"
32945,0.042524160157166285,{'LEX'},"{'Lexington, KY'}"
34986,0.0418131983573383,{'SRQ'},"{'Sarasota/Bradenton, FL'}"
30255,0.04171310051604861,"{'HSV', 'AL3'}","{'Huntsville, AL'}"
30476,0.04090031869805604,"{'BAD', 'SHV'}","{'Shreveport, LA'}"
31637,0.040134068597065115,{'FAR'},"{'Fargo, ND'}"
34275,0.040084882476716883,{'PTK'},"{'Pontiac, MI'}"
31823,0.040000237006654046,{'FWA'},"{'Fort Wayne, IN'}"
30434,0.03989941472942552,{'AVP'},"{'Scranton/Wilkes-Barre, PA'}"
31603,0.03919555534785157,{'EUG'},"{'Eugene, OR'}"
31764,0.039117784309473366,{'FRG'},"{'East Farmingdale, NY'}"
31775,0.039083026521734295,{'FSD'},"{'Sioux Falls, SD'}"
30990,0.038924369638795295,{'CHO'},"{'Charlottesville, VA'}"
34262,0.03871678319072133,"{'UDD', 'TRM', 'PSP'}","{'Bermuda Dunes, CA', 'Thermal, CA', 'Palm Springs, CA'}"
31049,0.03832693393942271,{'CLL'},"{'College Station/Bryan, TX'}"
30208,0.03726958169941388,{'AGS'},"{'Augusta, GA'}"
31504,0.03714451510057448,{'VPS'},"{'Valparaiso, FL'}"
30372,0.03680109904996857,{'ASE'},"{'Aspen, CO'}"
31638,0.03672407899317469,{'FAT'},"{'Fresno, CA'}"
31977,0.0366964304510112,{'GRB'},"{'Green Bay, WI'}"
30980,0.03669508679853617,{'CHA'},"{'Chattanooga, TN'}"
34108,0.036233769680673815,{'PIA'},"{'Peoria, IL'}"
34783,0.03557153172815713,{'SGF'},"{'Springfield, MO'}"
30431,0.03480056221227071,{'AVL'},"{'Asheville, NC'}"
34699,0.034625113950916775,{'HDN'},"{'Hayden, CO'}"
30620,0.03461192287889388,{'BIL'},"{'Billings, MT'}"
34689,0.034557425801390616,{'SBA'},"{'Santa Barbara, CA'}"
30408,0.03449828444383521,{'ATW'},"{'Appleton, WI'}"
31503,0.03449299010445596,{'EGE'},"{'Eagle, CO'}"
33367,0.03436580912699625,{'MLI'},"{'Moline, IL'}"
32448,0.03418022790645275,"{'HKS', 'JAN'}","{'Jackson, MS', 'Jackson/Vicksburg, MS'}"
30185,0.03397253698673584,"{'ESF', 'AEX'}","{'Alexandria, LA'}"
33029,0.03387349611137818,{'LNK'},"{'Lincoln, NE'}"
31027,0.03384639173236201,{'CKB'},"{'Clarksburg/Fairmont, WV'}"
32758,0.03372976963268697,{'KOA'},"{'Kona, HI'}"
31728,0.03372790003434508,{'FOK'},"{'Westhampton, NY'}"
32951,0.03367685907284553,{'LFT'},"{'Lafayette, LA'}"
30581,0.033671769470066504,{'BGR'},"{'Bangor, ME'}"
32884,0.033415873104788864,{'LAN'},"{'Lansing, MI'}"
32441,0.0333967991501239,{'JAC'},"{'Jackson, WY'}"
34574,0.03252426850742901,{'ROA'},"{'Roanoke, VA'}"
32544,0.03245363885845221,{'USA'},"{'Concord, NC'}"
35165,0.0324211443182653,{'TOL'},"{'Toledo, OH'}"
33486,0.03240326405275337,{'MSO'},"{'Missoula, MT'}"
31921,0.03218996402776319,{'GJT'},"{'Grand Junction, CO'}"
34457,0.03175048504581,"{'RAP', 'RCA'}","{'Rapid City, SD'}"
31517,0.03163679295955815,"{'FAI', 'EIL', 'A01', 'FBK', 'MTX'}","{'Fairbanks/Ft. Wainwright, AK', 'Fairbanks, AK'}"
30562,0.03156209791573635,"{'BFM', 'MOB'}","{'Mobile, AL'}"
31337,0.03142161567186322,{'DLH'},"{'Duluth, MN'}"
