kevin_bacon,max_dist,connected_component_size
Charlotte Le Bon,8,15606
Benoît Debie,1,9
Juan Saavedra,1,9
Ugo Fox,1,9
Klara Kristin,1,9
Isabelle Nicou,1,9
Aomi Muyock,1,9
Vincent Maraval,1,9
Déborah Révy,1,9
Karl Glusman,1,9
Suthep Po-ngam,4,123
Somlek Sakdikul,4,123
Sarawut Phumthong,4,123
Natee Aekwijit,4,123
Der Doksadao,4,123
Chaleumpol Tikumpornteerawong,4,123
Petchtai Wongkamlao,4,123
Pongsak Pongsuwan,4,123
Apisit Opasaimlikit,4,123
Kohtee Aramboy,4,123
Savika Chaiyadej,4,123
Phichet Iamchaonaa,4,123
Yoakyake Chernyim,4,123
Krissada Sukosol,4,123
Ry Barrett,1,5
Nina Richmond,1,5
Will King,1,5
Jorja Cadence,1,5
Nina Kiri,1,5
Mo Gilligan,0,1
Danny Boushebel,1,8
Carlo Brandt,1,8
Sara El Mhamdi Elaaloui,1,8
Halima Karaouane,1,8
Asmaa Lazrak,1,8
Camélia Montassere,1,8
Loubna Abidar,1,8
Abdellah Didane,1,8
Ngo Thanh Van,1,5
Phan Thanh Nhien,1,5
Pham Anh Khoa,1,5
Thanh Hoa,1,5
Mai Cat Vi,1,5
Lady Gaga,0,1
Monte Markham,1,18
Thanh Pham,1,6
Petey Majik Nguyen,1,6
Kate Nhung,1,6
Lam Thanh My,1,6
Suboi,1,6
Jayvee Mai The Hiep,1,6
Clive Davis,0,1
Los Tigres del Norte,0,1
Jack Polak,1,2
Ina Soep,1,2
Refal Hady,1,7
Marissa Anita,1,7
Sheryl Sheinafia,1,7
Ayu Dyah Pasha,1,7
Sari Koeswoyo,1,7
Hengky Tarnando,1,7
Joko Anwar,1,7
Nika Sarun,1,10
Sreymoch Sareum,1,10
Sreyneang Oun,1,10
Sothea Khoun,1,10
Chenda Run,1,10
Nita Sarun,1,10
Kimhak Mun,1,10
Kompheak Phoeung,1,10
Dara Heng,1,10
Socheata Sveng,1,10
Yaroslav Zhalnin,1,8
Vadim Michman,1,8
Nadezhda Markina,1,8
Viktor Proskurin,1,8
Olga Ivanova,1,8
Vladimir Steklov,1,8
Daniil Vorobyov,1,8
Mikhail Filippov,1,8
Dennis Roady,1,2
Vitaly Zdorovetskiy,1,2
Gene Simmons,0,1
Ryo Yoshizawa,1,15
Kate Lang Johnson,1,10
Robert Adamson,1,10
Alicia James,1,10
Emma Bell,1,10
Nick Ballard,1,10
Gail O'Grady,1,10
Bradley Bundlie,1,10
Caia Coley,1,10
Corbin Timbrook,1,10
Sotida Arpon,1,10
Wang Sen,1,8
Godfrey Gao,1,8
Shi Liang,1,8
Vincent Matile,1,8
Shu Qi,1,8
Wang Gongliang,1,8
Lu Han,1,8
Sun Jialing,1,8
Pierre Bokma,1,17
Tommaso Buscetta,0,1
Kathy Murphy,0,1
Sergio Nicolai,1,10
Olivia Corsini,1,10
Shaghayegh Beheshti,1,10
Sylvain Jailloux,1,10
Pancho Garcia Aguirre,1,10
Célia Catalifo,1,10
Arman Saribekyan,1,10
Francis Ressort,1,10
Elena Bellei,1,10
Sébastien Brottet-Michel,1,10
Ibrahim Almeirasi,1,6
Tariq Almuhairi,1,6
Mohamed Morshed,1,6
Mohamed Alkendi,1,6
Ahmed Saif,1,6
Alia Almannai,1,6
Gary Lineker,1,6
Pau Gasol,1,6
Johan Cruyff,1,6
Lionel Messi,1,6
Andrés Iniesta,1,6
Xavi Hernández,1,6
Loknath Tiwari,1,6
Taneea Rajawat,1,6
Sambhaji Sasane,1,6
Aparna Upadhyay,1,6
Saharsh Kumar Shukla,1,6
Hima Singh,1,6
Elliot Korte,1,12
Diane Kagan,1,12
James Murtaugh,1,12
Lisa Emery,1,12
Judd Hirsch,1,12
Ruben Santiago-Hudson,1,12
Scott Cohen,1,12
Jerry Matz,1,12
Susan Floyd,1,12
John Di Benedetto,1,12
Ato Essandoh,1,12
Toby Poser,1,12
Rocco Siffredi,0,1
James Freeman,0,1
Michael Alago,0,1
Phi Nguyen,1,7
Sergio IJssel,1,7
Jandino Asporaat,1,7
Liliana de Vries,1,7
Dennis Rudge,1,7
Alpha Oumar Barry,1,7
Teun Kuilboer,1,7
Christopher Sean,1,8
Anne Leighton,1,8
Kelly Kruger,1,8
Pallavi Sastry,1,8
Stacy Haiduk,1,8
John-Paul Lavoisier,1,8
Beth Littleford,1,8
Kristoff St. John,1,8
Thu Trang,1,3
Chi Tai,1,3
Lan Ngoc,1,3
Ali Erkazan,1,10
Ege Kökenli,1,10
Cem Gelinoğlu,1,10
Özlem Çakar,1,10
Müfit Kayacan,1,10
