node,value
Raza Murad,0.23684121182895584
Matt Doran,0.29287190728034257
Sahabanu Zolghadr,0.23868478557516135
Sean McCann,0.24508849118558432
Ramona Marquez,0.27821065895573177
Nicole Rossi,0.2202239061725322
Samrat Mukherjee,0.23752116330649958
Kenneth Choi,0.26715884943650087
Carol 'Do Do' Cheng,0.2150293348274465
Natalie Becker,0.28653716237347504
Ray Romano,0.304336354511472
Dian Nitami,0.17988505890225176
Erdal Özyagcilar,0.20924213570344
Jorge Herrera,0.005727993566655648
Sunder,0.21074052942765842
Prisia Nasution,0.17994411506078828
Jet Li,0.270087970175626
Troy Baker,0.25161405840370055
Vincent Sze,0.21672984360425507
Pelin Acar,0.1465583139744406
Martin Landau,0.31999403019786093
Lisa Scenna,0.23518977664671148
Kate Winslet,0.32511886971166964
Jay Anstey,0.28653716237347504
Alexz Johnson,0.2658146335961014
Abimana Aryasatya,0.2202239061725322
Michael Tse,0.24315855352971158
Joyraj Bhattacharya,0.2196062601192612
Vincent Regan,0.28142469647656043
Melvin Gregg,0.29381386999472586
Colin Salmon,0.29734035368558276
Arjan Bajwa,0.24290262551524977
Vikrant Massey,0.25024986849682046
Tony Shalhoub,0.31155877474785343
Prasad Purandhare,0.22967097191500568
Jess Kuss,0.004988567865308668
Marque Richardson,0.26845097317260247
Julia Davis,0.27821065895573177
Andrew Airlie,0.29154775238040487
David Ross Paterson,0.28047065343490396
Pandji Pragiwaksono,0.17989243880210415
Ayça Erturan,0.20924213570344
Lane Bradbury,0.30431523324320137
Alex Medina,0.22583839080146728
Gary Basaraba,0.30431523324320137
Devrim Yakut,0.209772673578017
Philip Stone,0.32001738401702584
Merila Zare'i,0.23868478557516135
Adam Tuominen,0.004988567865308668
Bassem Samra,0.00914570775306589
Raj Mehra,0.22807022759811135
Richard E. Grant,0.31345186902575517
Irmawati Jabbar,0.17992196445781003
Rachel Griffiths,0.29565627373752873
Pippa Bennett-Warner,0.2580250791927321
Roger Guenveur Smith,0.2740720167386267
Anne Hathaway,0.30232199364322176
John Turturro,0.3134966894831836
Sofiko Chiaureli,0.262269166565063
Musetta Vander,0.2826036475767781
Finesse Mitchell,0.28696846831160266
Kevin Wu,0.25564821570669827
Dian Sastrowardoyo,0.22067831886267178
Lucie Laurier,0.2792560308114437
Kemi Lala Akindoju,0.19348180716592192
James Biberi,0.26513956922247484
Satsuki Yukino,0.16757282821115482
Tom Skerritt,0.29416867005241437
Mangesh Desai,0.22267307514733337
Prim Bulakul,0.0066514238204115565
Lawrence Stubbings,0.1934732701994921
Kirti Kulhari,0.2296830022419616
Rebecca Gayheart,0.2762127997355142
Ruffa Gutierrez,0.1551235785828453
Shivaji Satham,0.2670937562161959
Ivan Sergei,0.28872576518083154
Harley Quinn Smith,0.291257269731072
Poonam Sinha,0.2339350296522241
Aml Ameen,0.2980477294590327
Chiara Zanni,0.26523579698773825
