node,value
Demian Aditya,1.0
Ombo Gogo Ombo,1.0
Tom Courtenay,0.95
Anne Heche,0.8261351052048727
Wale Ojo,0.8790078644888082
Caroline Chikezie,1.0
Mandakini,0.6326340326340326
Tabitha St. Germain,0.8176538908246226
Boman Irani,0.19483985765124556
Eucharia-Anunobi Ekwu,1.0
Daniella Monet,1.0
Shelley Duvall,1.0
Elizabeth Irving,1.0
Bruce Willis,0.3180550714534681
Jon Seda,1.0
Suteerush Channukool,1.0
Kinaryosih,1.0
Johnny Messner,0.5175324675324675
Hou Hsiao,1.0
Sameera Reddy,0.565045045045045
Keira Knightley,0.37896825396825395
Halle Berry,0.2209636184857424
Asin,1.0
Chen Zhi Hui,0.8911290322580645
Himani Shivpuri,0.44258915687487116
Anil Kapoor,0.24982773471145564
Bernard Palanca,0.9398496240601504
Maya Erskine,0.9356862745098039
Siddarth Jadhav,0.4624624624624625
Colin Farrell,0.4435087719298246
Judi Dench,0.46210526315789474
Arun Bali,0.6551418439716312
Zeppi Borromeo,1.0
Jennifer Cody,1.0
Aya Cash,1.0
Emma Stone,0.6523809523809524
Brent Werzner,1.0
Kaitlyn Dever,0.8575498575498576
Dennis Padilla,0.7177177177177178
Kevin Wu,1.0
Ming-Na Wen,1.0
Kelly Preston,0.7101449275362319
Carrie Fisher,1.0
Rajesh Vivek,1.0
Kai Scarlett Williams,1.0
Begüm Öner,1.0
Willem Dafoe,0.2555930508686414
T.I.,0.7038327526132404
Kay Kay Menon,0.21237536110334546
Tapsee Pannu,0.5762132604237867
John Rhys-Davies,0.5869123425010161
Polly Walker,0.5020979020979021
Radha Mitchell,0.8093883357041252
Josh Hamilton,1.0
Robert Curtis Brown,1.0
Jas Arora,0.7898550724637681
Kiara Advani,0.6485175202156335
Rajeev Verma,0.48674242424242425
Colin David Reese,1.0
Cengiz Bozkurt,0.42402597402597403
Steve Zahn,0.4522408963585434
Ewan McGregor,0.38846153846153847
Badjie Mortiz,0.8841463414634146
Alexander Conti,1.0
Neels Clasen,1.0
Sola Sobowale,0.5077922077922078
Tom Sizemore,0.5105263157894737
Adrienne Pickering,1.0
Ada Ameh,1.0
Femi Adebayo,0.9035087719298246
Louis Koo,0.7289795918367347
Akshay Oberoi,0.45454545454545453
Seeta Indrani,1.0
Masaaki Tsukada,1.0
Mary Kate Schellhardt,1.0
Mary Bond Davis,1.0
Tom Papa,1.0
Denisse Ojeda,1.0
David Koechner,0.3228492136910268
Lun Hua,1.0
Grant Show,1.0
Happy Anderson,1.0
Doug Jones,0.43137254901960786
Gerry Bednob,1.0
Ray Liotta,0.24655172413793103
Jay Anstey,1.0
Luka Peros,0.92
Vinod Nagpal,0.8340943683409436
Gonzalo Delgado,1.0
Marc Maron,0.8068783068783069
Wayne Knight,1.0
Ahmed Gamal Saeed,1.0
Ian Ashpitel,1.0
James Russo,1.0
Michole Briana White,1.0
Quvenzhané Wallis,1.0
Matt O'Leary,0.5473389355742297
Ayçe Abana,0.9051383399209486
Chadwick Boseman,0.5682539682539682
Amruta Subhash,0.8318250377073907
Karine Amaya,1.0
Manisha Koirala,0.2765515684946965
Adhir Kalyan,1.0
Marshall Johnson,1.0
Serena Dalrymple,1.0
Manu Rishi Chadha,0.4642857142857143
Deepak Shirke,0.803921568627451
Jamie Demetriou,1.0
Titi Kamal,0.9279279279279279
Şükran Ovalı,1.0
Lin Laishram,1.0
Warwick Davis,0.7555555555555555
Sita Nursanti,1.0
Somyos Matures,1.0
DJ Qualls,0.5028571428571429
Patricia Clarkson,0.2880986937590711
Ketchup Eusebio,0.6073684210526316
Marc Blucas,1.0
Joely Fisher,0.9444444444444444
Joe Pantoliano,0.3743271221532091
Mink Singh,1.0
Arya Banerjee,1.0
Laudya Cynthia Bella,0.844758064516129
Peter King Nzioki Mwania,1.0
Eugene Domingo,1.0
Tyreese Burnett,1.0
Tim Roth,0.964935064935065
Michelle Pfeiffer,0.47943037974683544
Liam Neeson,0.3108836799823924
Geoff Pierson,1.0
Jamie Lever,1.0
Zarine Khan,0.5440677966101695
Mackenzie Sol,1.0
Volkan Ünal,1.0
Peter McRobbie,1.0
James Hong,0.6108870967741935
Maryann Plunkett,1.0
Zhao Wei,0.8473429951690822
Celina Jaitly,0.6980392156862745
Sean Hayes,0.32971014492753625
Ludacris,0.573015873015873
Marc Beaupré,1.0
Joy Fernandes,1.0
Rachel Shelley,1.0
Carl Ng,1.0
Kendrick Cross,0.9932367149758454
Imogen Poots,0.8890756302521008
Brendan Gleeson,0.642535446205171
Rodrigo Santoro,1.0
Amy Adams,0.5241844769403825
Jeetendra,0.8971088435374149
Jane Krakowski,0.44098360655737706
Ellery Sprayberry,1.0
Chris Massoglia,1.0
Ellen Burstyn,0.8982322025800287
Razak Khan,0.596604938271605
Chris Pine,0.546031746031746
José Dumont,1.0
Kevin Hart,0.7321937321937322
Jeremy Howard,1.0
Sushma Seth,0.631578947368421
Julio Oscar Mechoso,1.0
Orlando Jones,0.33360160965794766
Josh Hutcherson,0.8632478632478633
Rebecca Husain,0.7606837606837606
Trevor Devall,0.44702467343976776
Texas Battle,0.8268398268398268
Sonam Kapoor,0.3140180430256766
Efren Ramirez,0.8526315789473684
Dean Wareham,1.0
Lukas Haas,0.7207207207207207
John Cleese,0.22596944770857813
Maudy Koesnaedi,0.7192192192192193
Musetta Vander,1.0
Breanna Yde,1.0
Andrew Bowen,0.587138508371385
Saurabh Shukla,0.27865198006818775
Sahajak Boonthanakit,0.7747035573122529
Sumeet Nijhawan,1.0
Patience Ozokwor,1.0
Tom Poon,1.0
Ben Mendelsohn,0.32144944476914084
Saeed Jaffrey,0.39733676975945015
David Meunier,1.0
Anna Kendrick,0.2360655737704918
Cynthia Martells,1.0
Jianqiang Hu,1.0
Yayu Unru,0.8
Ellie Bamber,1.0
Kainaat Arora,0.8015873015873016
Mike Nussbaum,1.0
Romola Garai,0.6430769230769231
Kiran Rathod,1.0
Angel David,1.0
Rebecca Miller,1.0
Dino Morea,1.0
Utkarsh Ambudkar,1.0
Marc Domènech,1.0
Koel Purie,0.5505226480836237
Ersin Korkut,0.4108983799705449
Alvin Anson,1.0
Andrew Collins,1.0
Tutie Kirana,1.0
Griffin Gluck,1.0
Lucy Liu,0.3438061990902359
Stephen Huszar,1.0
Bridget Everett,0.8354978354978355
Anuj Sachdeva,1.0
Sam Vincent,0.6485671191553545
Indra Birowo,1.0
Joshua Leonard,0.9310344827586207
Victor Banerjee,0.5277777777777778
Ella Anderson,1.0
Aditi Rao Hydari,0.39333722969023965
Bruno Campos,1.0
Sarah-Jane Dias,0.6881720430107527
Hannah John-Kamen,1.0
Jerry O'Connell,1.0
Neal McDonough,0.683076923076923
Woody Harrelson,0.2549660852713178
Adriane Lenox,1.0
Daisy Anderson,1.0
Ralph Fiennes,0.814012202819272
Joross Gamboa,0.6069620253164557
Mon Confiado,1.0
Nikitin Dheer,0.6329284750337382
Hande Dane,1.0
Toby Kebbell,0.6869057547956631
Marissa Delgado,1.0
Apoorva Agnihotri,1.0
Arkie Reece,0.8589743589743589
B.J. Novak,0.5365253077975376
Patrick Bauchau,1.0
Yu Chenghui,1.0
Jack Farthing,1.0
Jayapradha,1.0
Michael Douglas,0.4408653846153846
Helena Kaittani,1.0
Cybill Shepherd,1.0
Kanin Ngo,1.0
John Ratzenberger,0.9512195121951219
William Hurt,1.0
Kunal Kapoor,0.30983981693363843
Zanjoe Marudo,0.8371212121212122
J.C. MacKenzie,1.0
Crystal Lowe,0.6866666666666666
Ranbir Kapoor,0.36585365853658536
Daran Norris,0.4956477214541731
Marguerite Moreau,1.0
John Leguizamo,0.5204301075268817
Fiona Vroom,1.0
Ken Stott,0.9095238095238095
Susan Vidler,1.0
Charlotte d'Amboise,1.0
Emma Clifford,1.0
Lam Suet,0.7297959183673469
Raza Murad,0.5511396843950906
Sanjay Dutt,0.24806742226097064
Kevin Christy,1.0
Geeta Tyagi,1.0
Renan Bilek,0.7963709677419355
Rukhsar,1.0
Sharat Saxena,0.354505667152957
Joey Yung,1.0
Josh Daugherty,1.0
Jackie Shroff,0.2712304250559284
Hamdi Kahraman,1.0
Maribel Verdú,0.483843537414966
John C. Reilly,0.23270440251572327
Pandji Pragiwaksono,0.9448275862068966
Michael Stuhlbarg,0.4095238095238095
James Rebhorn,0.6060606060606061
Robert Mammone,1.0
Bronagh Gallagher,1.0
Ann-Margret,0.946031746031746
Paul Rudd,0.21499515503875968
Rajendranath Zutshi,0.33773157403705184
Masood Akhtar,0.5052910052910053
Jack Tomich,1.0
Supriya Karnik,0.6824489795918367
Yeni Alvarez,1.0
John Guerrasio,1.0
Bob Dylan,1.0
Steve Buscemi,0.3849874895746455
Mithun Chakraborty,0.32080610021786493
Amrish Puri,0.21047619047619048
Shahab Hosseini,1.0
Kelly Marie Tran,1.0
Ravi Baswani,0.5619122257053292
Adinia Wirasti,0.9279279279279279
Anton Yelchin,0.33780592528982395
Isha Sharvani,1.0
Pelin Acar,1.0
Jayma Mays,0.9471830985915493
Matthew Macfadyen,1.0
Bobby Andrews,0.7545893719806763
Amanda Detmer,0.4902439024390244
Alexander Arnold,0.8669950738916257
Satarupa Das,1.0
Jin Auyeung,1.0
Pankaj Tripathi,0.4751066856330014
George Sargeant,1.0
Dalip Tahil,0.4346527259148618
Kyle Allen,1.0
Kehinde Bankole,0.5738396624472574
Usha Kiran,1.0
Logan Marshall-Green,0.48077792853912255
Saori Hayami,0.7817073170731708
Jim Gaffigan,0.2792022792022792
Tom Hollander,0.6059743954480796
Jack Gilpin,1.0
Kathy Bates,0.30476804123711343
Yoji Ueda,0.9294294294294294
Roger McGuinn,1.0
Inigo Pascual,1.0
Tahirah Sharif,1.0
Ginnifer Goodwin,0.6383673469387755
Søren Malling,1.0
Erica Hubbard,0.8506401137980085
Raj Mehra,1.0
Demet Akbağ,0.35194174757281554
Jerry Reed,1.0
Ashwin Chitale,0.7165775401069518
Ian James Corlett,1.0
Satyadev Dubey,1.0
Jimmy Jean-Louis,1.0
Morwenna Banks,0.854251012145749
Natalie Martinez,0.5806451612903226
Brooke Shields,0.9356862745098039
Michael Kitchen,0.7192118226600985
Ahmed Adel,1.0
Sharad Kelkar,0.5493506493506494
Suchitra Krishnamoorthi,1.0
Rich Fulcher,1.0
Chitrangada Singh,0.76
JC de Vera,1.0
Camaron Engels,1.0
Sharon Stone,0.42922737306843267
Antony Del Rio,1.0
Misty Copeland,1.0
Vlad Ivanov,0.8523076923076923
Courtney B. Vance,0.9136212624584718
Paris Phillips,1.0
John Voldstad,1.0
Andrzej Seweryn,1.0
Xing Yu,0.7529411764705882
Catherine Zeta-Jones,0.4756944444444444
Shannon Chan-Kent,0.6979591836734694
Rasika Dugal,0.6480874316939891
Zhang Hanyu,0.5063520871143375
Matt Schichter,1.0
Rob Schneider,0.8804878048780488
Rachel D'Sena,1.0
Kenneth Choi,1.0
Kenneth Miller,1.0
Harshvardhan Kapoor,0.7596638655462185
Matthew Waterson,1.0
Alexandra Carter,1.0
Murli Sharma,0.6705882352941176
Ronit Roy,0.4501910079341757
Pevita Pearce,0.6043010752688172
Lateef Adedimeji,1.0
Melinda Shankar,1.0
Robert Wagner,0.7741935483870968
Ila Arun,0.556497175141243
Sindbad Phgura,1.0
Edward Bosco,1.0
Jerry Lambert,1.0
Cush Jumbo,1.0
Gordon Liu,0.5947368421052631
Anna Paquin,0.5163911195087387
Josh Stamberg,0.4213615023474178
Neelam,1.0
Samuel Pang,1.0
Adhvik Mahajan,1.0
Özlem Tekin,0.9051383399209486
Jason Pai Piao,1.0
Karim Afifi,1.0
Scarlett Johansson,0.5257916241062308
Douglas Booth,0.5290006988120196
Du Jiang,1.0
Tchéky Karyo,0.4922448979591837
Xian Lim,0.5399659863945578
Cobie Smulders,0.8103448275862069
Gerald Anderson,1.0
Su Kutlu,1.0
Carlos Jacott,1.0
Thora Birch,0.4426705370101596
Sophie Okonedo,1.0
Khiyla Aynne,1.0
Jeff Wolfe,1.0
Onyok Pineda,1.0
Alan Cumming,0.45218476903870164
Altan Erkekli,0.7337662337662337
Allen Covert,0.5773809523809523
Mihiresh Joshi,1.0
Michael Jai White,0.3956756756756757
Richard Romanus,1.0
Kiray Celis,1.0
Molly Burnett,1.0
Gary Lewis,0.6710592160133445
Patrick Kennedy,1.0
Christoffer Nelwan,0.9009009009009009
Louis Fan,0.7985739750445633
Lynita Crofford,1.0
Rosario Dawson,0.26181124452923354
Robert Villar,0.8441558441558441
Macarena Gómez,0.8553846153846154
Ryan Kwanten,0.4804804804804805
Paul Schulze,1.0
Nia Jervier,1.0
Rose McIver,0.9230769230769231
Anna Levine,1.0
İdil Fırat,1.0
Sal Stowers,0.9730612244897959
Bill Tangradi,1.0
Faizon Love,0.9565656565656566
Sebnem Sönmez,0.7337662337662337
Prasanna Ketkar,1.0
Sofía Niño de Rivera,1.0
Krishan Dhawan,1.0
Ikranagara,0.8933143669985776
Lucas Black,0.9310344827586207
Leonardo DiCaprio,0.3317985265855221
Tiku Talsania,0.38995215311004783
Susan Yeagley,1.0
Sally Field,0.6494530244530244
James Caan,0.6576354679802956
Dale Dickey,0.4950213371266003
John Boyega,1.0
Deepika Padukone,0.3347306318894582
Joe Pesci,1.0
Mac Brandt,1.0
Salloum Haddad,1.0
Angelica C. Ferro,1.0
Andromeda Godfrey,1.0
Albert Brooks,0.5258326776816156
Patti Smith,1.0
Ramblin' Jack Elliott,1.0
Sinqua Walls,1.0
Vernon Vaughn,1.0
Maryam Zakaria,1.0
Jared Padalecki,0.7065217391304348
Emmanuel Castis,1.0
Jared Leto,0.5206349206349207
James Garner,1.0
Greta Gerwig,0.8293269230769231
Demetrius Grosse,1.0
Gina Hecht,1.0
Arbaaz Khan,0.4019562179785748
Santiago Segura,0.8564102564102564
Annie Parisse,1.0
Ciarán Hinds,0.39629990262901654
Julia Roberts,0.4061624649859944
Bill Murray,0.28267689090275355
Chaitanya Varad,1.0
Brian Drummond,0.5831649831649832
Bárbara Lennie,0.4492600422832981
Toru Sakurai,1.0
Cathy Cliften,0.7555841924398625
Jonathan Holmes,0.7793263646922184
Gracy Singh,1.0
Anjelica Huston,0.5886524822695035
Devon Seron,1.0
Kachormsak Naruepatr,1.0
Meray Ülgen,1.0
Deb Mukherjee,1.0
Shondrella Avery,0.5130066545674531
Martavious Gayles,1.0
Affion Crockett,1.0
Bhagyashree,0.6724137931034483
Alyssa Diaz,1.0
Sonalee Kulkarni,1.0
Joséphine de La Baume,1.0
Wendy Raquel Robinson,1.0
Tarık Ünlüoğlu,0.5063973063973064
Annette Bening,0.6566666666666666
Craig Robinson,0.4
Ömer Duran,1.0
Mrunal Jadhav,1.0
Govinda,0.6036772216547498
Leslie Mann,0.8451977401129943
Dennis Adhiswara,0.5601092896174863
Dante Rivero,0.8930450029222676
Rashid Khan,1.0
Patrick Dempsey,1.0
Sara Wijayanto,1.0
Kevin Eldon,1.0
Anirudh Tanwar,1.0
Nicholas Colasanto,1.0
Eddie Murphy,0.577612863327149
Varuth Waratham,1.0
Claudia Fernandez,1.0
Britta Phillips,1.0
Ajay Shankar,1.0
Denholm Elliott,1.0
Christopher Plummer,0.3124346917450366
Samir Ghanem,1.0
Warren Christie,1.0
Kishori Shahane,0.9041835357624831
Rob Lowe,0.434833430742256
Pradeep Nagar,1.0
Helen,0.3776595744680851
Sue Ramirez,1.0
Eddie Peng,1.0
Luke Massy,1.0
Claudia Ramírez,1.0
David Menkin,1.0
Eric Peter-Kaiser,1.0
Jennifer Jason Leigh,0.8202185792349727
David Ajala,1.0
Zachary Quinto,0.7497231450719822
Ireti Doyle,0.8931451612903226
John Lloyd Cruz,0.9177253478523896
Kevin Kolack,1.0
Indrajeet Soni,1.0
Eric Keenleyside,1.0
Chad Donella,1.0
Ana López Mercado,1.0
Shea Whigham,0.8288770053475936
Scott Baio,1.0
Andrea Libman,0.6428571428571429
Jorge Herrera,1.0
Bogdan Iancu,1.0
Zach Galifianakis,0.31432779297285923
Nassar Abdulla,0.8084163898117387
Cem Özeren,1.0
Cameron Richardson,1.0
Sumeet Vyas,0.9177489177489178
Hapi Murphy,1.0
Martin Hutson,0.9169960474308301
Dominic Lam,1.0
Pooja Batra,1.0
Kevin Pollak,0.7569892473118279
Hafeez Oyetoro,1.0
Krish Moitra,1.0
T.J. Storm,1.0
Simon Pegg,0.8427631578947369
Gaurav Dwivedi,1.0
Veerendra Saxena,0.5443548387096774
Michelle Krusiec,1.0
Kriti Sanon,0.7645502645502645
Orla Hill,1.0
Kat Dennings,1.0
Satchit Puranik,1.0
Amyra Dastur,0.37012987012987014
Stephen Graham,0.7694949494949495
Cameron Diaz,0.359604766056379
Veena Jamkar,0.35031055900621116
María Cecilia Botero,1.0
Ahlam Al-Gritly,1.0
Trace Adkins,1.0
Colin Salmon,1.0
Marwa,1.0
Kristen Cloke,1.0
Toby Jones,0.8447368421052631
Amrita Puri,0.582010582010582
Rimi Sen,0.4484268125854993
Jodie Whittaker,0.6246153846153846
Huang Xiaoming,1.0
Alessandro Juliani,0.6666666666666666
Okan Çabalar,1.0
Chelsea Islan,0.5075414781297134
Assunta de Rossi,1.0
Terrence 'T.C.' Carson,1.0
Ram Kapoor,0.49019607843137253
Natalia Tena,1.0
Masaki Terasoma,1.0
Gillian Vicencio,1.0
Ata Demirer,0.5407239819004525
Lydia Forson,0.937012987012987
Maria Blasucci,1.0
Nyungsang Bungo,1.0
Pawarith Monkolpisit,1.0
Vincent Sze,1.0
Martin Freeman,0.6410256410256411
Meagen Fay,1.0
Pongsatorn Jongwilak,1.0
Kazumi Evans,0.7210884353741497
Adrián Yospe,1.0
Abhishek Bachchan,0.2778523489932886
Kaden Leos,1.0
Chris Wylde,1.0
