node,value
Raza Murad,0.012263562668883806
Matt Doran,0.007067137809187279
Sahabanu Zolghadr,0.004572853876532945
Sean McCann,0.004157139887757223
Ramona Marquez,0.008522136769902306
Nicole Rossi,0.0047807108709208065
Samrat Mukherjee,0.007690708792350862
Kenneth Choi,0.0047807108709208065
Carol 'Do Do' Cheng,0.006235709831635834
Natalie Becker,0.00914570775306589
Ray Romano,0.01829141550613178
Dian Nitami,0.006027852837247973
Erdal Özyagcilar,0.007690708792350862
Jorge Herrera,0.004364996882145084
Sunder,0.004572853876532945
Prisia Nasution,0.007898565786738723
Jet Li,0.005612138848472251
Troy Baker,0.006235709831635834
Vincent Sze,0.006235709831635834
Pelin Acar,0.004157139887757223
Martin Landau,0.016836416545416753
Lisa Scenna,0.006235709831635834
Kate Winslet,0.029723550197464144
Jay Anstey,0.00914570775306589
Alexz Johnson,0.004157139887757223
Abimana Aryasatya,0.0047807108709208065
Michael Tse,0.008729993764290168
Joyraj Bhattacharya,0.006859280814799418
Vincent Regan,0.004157139887757223
Melvin Gregg,0.007690708792350862
Colin Salmon,0.009353564747453752
Arjan Bajwa,0.011847848680108086
Vikrant Massey,0.011224277696944502
Tony Shalhoub,0.016212845562253168
Prasad Purandhare,0.009769278736229474
Jess Kuss,0.004988567865308668
Marque Richardson,0.006443566826023695
Julia Davis,0.008522136769902306
Andrew Airlie,0.006235709831635834
David Ross Paterson,0.006443566826023695
Pandji Pragiwaksono,0.006235709831635834
Ayça Erturan,0.007690708792350862
Lane Bradbury,0.018083558511743918
Alex Medina,0.004988567865308668
Gary Basaraba,0.018083558511743918
Devrim Yakut,0.01662855955102889
Philip Stone,0.01829141550613178
Merila Zare'i,0.004572853876532945
Adam Tuominen,0.004988567865308668
Bassem Samra,0.00914570775306589
Raj Mehra,0.0047807108709208065
Richard E. Grant,0.012471419663271668
Irmawati Jabbar,0.0072749948035751395
Rachel Griffiths,0.007690708792350862
Pippa Bennett-Warner,0.004157139887757223
Roger Guenveur Smith,0.004988567865308668
Anne Hathaway,0.014134275618374558
John Turturro,0.011224277696944502
Sofiko Chiaureli,0.009561421741841613
Musetta Vander,0.004988567865308668
Finesse Mitchell,0.009561421741841613
Kevin Wu,0.006859280814799418
Dian Sastrowardoyo,0.012679276657659529
Lucie Laurier,0.0047807108709208065
Kemi Lala Akindoju,0.011432134691332363
James Biberi,0.004157139887757223
Satsuki Yukino,0.006859280814799418
Tom Skerritt,0.007067137809187279
Mangesh Desai,0.004988567865308668
Prim Bulakul,0.0066514238204115565
Lawrence Stubbings,0.011224277696944502
Kirti Kulhari,0.0054042818540843895
Rebecca Gayheart,0.006027852837247973
Ruffa Gutierrez,0.007898565786738723
Shivaji Satham,0.0066514238204115565
Ivan Sergei,0.0072749948035751395
Harley Quinn Smith,0.014965703595926002
Poonam Sinha,0.007690708792350862
Aml Ameen,0.007898565786738723
Chiara Zanni,0.0072749948035751395
Armin Mueller-Stahl,0.005196424859696528
Wale Akorede,0.011224277696944502
Ufoma Ejenobor,0.0054042818540843895
Tabitha St. Germain,0.008729993764290168
Thomas Haden Church,0.015797131573477445
Nagma,0.011432134691332363
Ravi Baswani,0.01829141550613178
Lawrence Makoare,0.009353564747453752
Kristoffer Ryan Winters,0.005196424859696528
Vidya Balan,0.021617127416337558
Lukman Sardi,0.012679276657659529
Lauren Lapkus,0.01101642070255664
Shashank Arora,0.007482851797963001
Darlene Love,0.004988567865308668
Tituss Burgess,0.006859280814799418
Ricardo Dalmacci,0.005819995842860112
David Milchard,0.008314279775514445
Ladya Cheryll,0.007690708792350862
Luka Peros,0.005196424859696528
Nargis Fakhri,0.004572853876532945
Christie Laing,0.004364996882145084
Shakeel Khan,0.009353564747453752
Nicole Oliver,0.01642070255664103
Farah Zeynep Abdullah,0.00914570775306589
Anthony Gonzalez,0.004988567865308668
Jim Beaver,0.009353564747453752
Eddy Ko,0.008729993764290168
Laudya Cynthia Bella,0.0066514238204115565
Madhuri Bhatia,0.007690708792350862
Verne Troyer,0.015589274579089585
Aidan Shipley,0.005196424859696528
Christopher Gaze,0.007482851797963001
Rey Bong,0.006027852837247973
Danny John-Jules,0.008522136769902306
Caroline Chikezie,0.0066514238204115565
Diya Mirza,0.009353564747453752
Christopher Mintz-Plasse,0.022448555393889003
John Michael Higgins,0.020993556433173976
Chandler Canterbury,0.004157139887757223
Indah Permatasari,0.012679276657659529
Smita Bansal,0.004157139887757223
Fatym Layachi,0.011224277696944502
Johnny Lever,0.03429640407399709
Enchong Dee,0.011847848680108086
Gayatri Joshi,0.007690708792350862
Michael Bisping,0.008522136769902306
Randhir,0.004572853876532945
Rich Fulcher,0.008522136769902306
Jerry Lambert,0.008522136769902306
Kenneth Miller,0.004157139887757223
Javed Sheikh,0.015797131573477445
Jon Polito,0.004157139887757223
Odunlade Adekola,0.0054042818540843895
Chandan Roy Sanyal,0.01434213261276242
Jessamine-Bliss Bell,0.0047807108709208065
Peter Breck,0.0047807108709208065
James Russo,0.008106422781126584
Giselle Audirac,0.005819995842860112
Paula Rhodes,0.006859280814799418
Steve Guttenberg,0.008106422781126584
Dillon Mitra,0.006235709831635834
Carmen Electra,0.011224277696944502
Sarah Michelle Gellar,0.0066514238204115565
Smith Seth,0.007690708792350862
Tora Sudiro,0.007482851797963001
Peter Strauss,0.009353564747453752
Patricia Hittler,0.005196424859696528
Paulo Avelino,0.006027852837247973
Michael Cera,0.0054042818540843895
Esha Gupta,0.008106422781126584
Alessandro Nivola,0.004364996882145084
Wale Adebayo,0.011224277696944502
Charles Malik Whitfield,0.0072749948035751395
Ariadna Gil,0.004157139887757223
Harsharan Singh,0.004572853876532945
Mohamed Saad,0.00914570775306589
Molly Burnett,0.008314279775514445
Michiel Huisman,0.01662855955102889
Peter Renaday,0.007690708792350862
Lewis Arquette,0.006027852837247973
Subholina Sen,0.006859280814799418
Ed O'Neill,0.005612138848472251
Ashok Selvan,0.0072749948035751395
Nicolas Cage,0.021617127416337558
Lota Chukwu,0.006235709831635834
Amit Varma,0.004157139887757223
Sunny Deol,0.009977135730617336
Ashish Kakkad,0.004157139887757223
Gage Golightly,0.0066514238204115565
Dylan McDermott,0.007690708792350862
İbrahim Büyükak,0.008106422781126584
Maggie Smith,0.0072749948035751395
JT Neal,0.006027852837247973
Marguerite Moreau,0.0054042818540843895
Nazareno Casero,0.004988567865308668
Leonardo DiCaprio,0.0465599667428809
Thomas Turgoose,0.008522136769902306
Mikey Post,0.008937850758678029
Mohan Agashe,0.008106422781126584
John Krasinski,0.008106422781126584
Will Ferrell,0.026397838287258366
Sylvester Groth,0.011432134691332363
