node,value
Raza Murad,0.0002200533479354723
Matt Doran,0.00018999100469021824
Ramona Marquez,0.00012302854809720186
Samrat Mukherjee,0.0001715290428685252
Carol 'Do Do' Cheng,2.5411147057632495e-07
Natalie Becker,2.9299685803546234e-05
Ray Romano,0.0026520994001357177
Erdal Özyagcilar,1.4358211187539203e-07
Prisia Nasution,4.345189647360772e-09
Vincent Sze,1.1371557108464127e-07
Lisa Scenna,5.614196734414027e-06
Kate Winslet,0.0008299848894807049
Jay Anstey,2.9299685803546234e-05
Michael Tse,2.3933797860305508e-06
Joyraj Bhattacharya,5.171397835740109e-05
Melvin Gregg,0.00019702700887285976
Colin Salmon,0.00010925494536304897
Arjan Bajwa,0.00035076844472343153
Vikrant Massey,0.000543850824295385
Tony Shalhoub,0.00024606058000091095
Prasad Purandhare,0.00021349529347055142
Marque Richardson,1.2519932854145982e-05
Julia Davis,0.00012302854809720186
Philip Stone,0.0029381413661712426
David Ross Paterson,8.137546655785015e-05
Ayça Erturan,1.4358211187539203e-07
Lane Bradbury,0.0026455962592653376
Hal Holbrook,0.00295716014667223
Gary Basaraba,0.0026455962592653376
Devrim Yakut,2.0791624460127444e-07
Bassem Samra,1.089560146807692e-246
Richard E. Grant,0.0002663053349570521
Irmawati Jabbar,4.345189647360772e-09
Rachel Griffiths,9.082230265325824e-05
Sofiko Chiaureli,0.0002970236774784178
Finesse Mitchell,3.6625457195569925e-05
Kevin Wu,4.145561794331872e-06
Dian Sastrowardoyo,2.54570511940772e-07
Kemi Lala Akindoju,2.4281969774580173e-08
Satsuki Yukino,1.6966535494269363e-10
Tom Skerritt,8.465376208207914e-05
Prim Bulakul,0.0
Lawrence Stubbings,2.4115908547337493e-08
Ruffa Gutierrez,4.220120986054006e-167
Ivan Sergei,0.00011502819585653681
Harley Quinn Smith,7.07343585610883e-05
Poonam Sinha,0.0001519357115948284
Aml Ameen,3.4017858681912036e-05
Wale Akorede,2.4115908547337493e-08
Tabitha St. Germain,1.4202682715529327e-06
Thomas Haden Church,0.00020996704666771684
Nagma,0.0005031418639358385
Ravi Baswani,0.0006576812667225715
Lawrence Makoare,0.00010925494536304897
Vidya Balan,0.0006753463925917656
Lukman Sardi,4.345189647360773e-09
Lauren Lapkus,4.854857108852521e-05
Shashank Arora,6.464352751454181e-05
David Milchard,2.5342500656880956e-05
Ladya Cheryll,4.345189647360773e-09
Shakeel Khan,0.0003427942858986963
Nicole Oliver,4.459940717508232e-06
Farah Zeynep Abdullah,1.6101384393055559e-07
Jim Beaver,0.00010925494536304897
Eddy Ko,2.3933797860305525e-06
Madhuri Bhatia,0.0002765335127454363
Verne Troyer,0.00020407805082935581
Christopher Gaze,1.420268271552934e-06
Caroline Chikezie,2.8478760153544508e-05
Danny John-Jules,0.00012302854809720184
Diya Mirza,0.0003161774172160222
