node,value
Jared Harris,0.0009781666405702443
Rick Yune,0.0002705770947365632
Niels Arestrup,0.0005284421986963336
Charlie Sheen,8.267601091718821e-07
Zoë Bell,0.0
Arya Banerjee,0.0
Liam Cunningham,0.00025897128353703634
Jimi the Quiff,0.0
Reema Lagoo,1.436594263519854e-05
Mircea Monroe,1.0718106267301104e-05
Boman Irani,0.0014641093088678847
Steve Zahn,0.0008580262903840649
Monica Potter,0.0
Joey Marquez,0.0
Kiara Advani,0.000506432346786289
Neils Coleta,0.0
Hana Mae Lee,0.0
Michael Moriarty,0.0
Wale Ojo,0.0
Jennifer Schwalbach,0.0
Pamu Pamorada,0.0
Ada Ameh,0.0
Jack Gore,0.0
William Jordan,0.0
Ava Acres,2.697479556281239e-05
Martin Wuttke,0.0
George Memmoli,0.0
Zakir Hussain,0.003906716497427991
Adhvik Mahajan,0.0
Friedrich von Thun,0.0
Cameron Diaz,0.009926058492043184
Sharon Stone,0.0011306365052418045
Philip Stone,0.0
Manu Rishi Chadha,0.0016447653960819783
Jeremy Irvine,0.0
Annabeth Gish,0.00019680207183355702
Brandon Routh,0.0006526825208862205
Hamzat Sherifdeen,0.0
Tim Curry,0.0
Alexandria Deberry,0.0
George Lopez,0.0
Gerry Bednob,0.0
Seema Biswas,0.0016080130003276656
Jimmy Jean-Louis,0.0
Prem Chopra,0.0004457787909861006
Sam Shepard,0.0014581572772907163
Scarlet Rivera,0.0
Igor Jijikine,0.0
Nitish Pandey,6.224903746975915e-06
Jeff Anderson,0.0
Zina Bethune,0.0
Lisa Ray,0.0
Rainer Bock,0.0
Ray Winstone,0.008540115371113701
Rayver Cruz,0.0
Roger McGuinn,0.0
Anthony Higgins,0.0
Achyut Potdar,0.0
Seann William Scott,0.0005538342572774342
Richard Gore,0.0
Fardeen Khan,0.002316111874191191
Rosamund Pike,0.0011361127256337533
Pam Grier,5.838543313014006e-05
Penelope Ann Miller,0.0
Matet De Leon,0.0
Ryan Bang,0.0
Ronee Blakley,0.0
Ken Erics,0.0
Albert Brooks,0.0010955975416635446
Matthew Maher,0.0008180253350873934
Emraan Hashmi,8.327330134328794e-05
Kate Bosworth,0.0015353318571601432
Rambha,0.0
Girish Kulkarni,5.358244929085535e-05
Rebel Rodriguez,0.0
Tanuja,0.003531529038259762
Demi Moore,0.0009503215559907008
Frank Adonis,0.0
Nick Stahl,5.1368660456776786e-05
Clare Grant,2.697479556281239e-05
Joe Pesci,0.0
Marissa Mathes,0.0
Neha Dhupia,0.002021505111872701
Julie Dreyfus,0.0
Chika Okpala,0.0
Jack Nicholson,0.0006198291338734678
Tillotama Shome,1.0997362022483304e-05
Sean Connery,0.0010157623345719022
Abhay Deol,0.014873040254566832
Bindu,0.00016247793121105706
Anton Yelchin,0.0030159547203998565
Ahron Villena,0.0
Isabelle Daza,0.0
Jamal Mixon,0.0
Samuel Gould,0.0
James Spader,0.021025641782989133
Billy Green Bush,0.0
Jane Alexander,0.00024377781637182827
Ravi Kale,0.0
Sal Stowers,1.0718106267301104e-05
Mukul Dev,7.801731379938272e-06
Tim Kalpakis,1.0718106267301104e-05
Michael Ironside,2.2755045487079355e-05
Marco Gumabao,0.0
Fred Armisen,0.001930907139230547
Aga Muhlach,0.0
Cybill Shepherd,0.0
Shia LaBeouf,0.02675626740234411
Gulshan Grover,0.0007944358184261392
Joseph Gordon-Levitt,0.003594447268900382
Kristen Bell,0.0015020818521099303
Maria Dizzia,0.0
Cate Blanchett,0.001767577757864902
Gulshan Devaiah,0.00045810820937012745
Sonali Bendre,0.00015894364371115874
Patrick Warburton,0.0027953149720926973
David Carradine,5.645235420477237e-05
Maya Erskine,1.0718106267301104e-05
Charles Grodin,0.0
Anupam Kher,0.07064450677534705
Sasha Pieterse,0.0
Sunny Mabrey,0.0
Shruti,0.0
Andre Garcia,0.0
Toby Stephens,0.0
