node,value
Walton Goggins,0.009138436781557624
Nawazuddin Siddiqui,0.0027834512028125967
Lisa Ray,0.0006874653584698834
Seann William Scott,0.013598522714308933
Lillete Dubey,0.0034596835325379736
Anjelica Huston,0.012866721010881689
Richard Romanus,0.06904313023127893
Amrish Puri,0.07787914968853533
Vineet Kumar Singh,0.0017546265548621018
Peter King Nzioki Mwania,2.023841733007494e-14
Ajay Devgn,0.0028746581733387227
Tory Kittles,0.0020554427643615938
Paresh Rawal,0.005741534644157151
Steve Eastin,0.0741568918920907
Ramsey Nouah,2.023841733007494e-14
Amy Adams,0.07698606836970438
Chika Chukwu,2.023841733007494e-14
Rolan Bykov,0.0021065764784698703
Sarah Silverman,0.001551594541263621
Stephen Graham,0.06958878234974436
Jacqueline Fernandez,0.003149298690629255
Seema Biswas,0.001346472651250393
Manoj Joshi,0.003284502529793696
Rob Riggle,0.012809082757333818
Monica Potter,0.0020554427643615938
Nutan,0.0021065764784698703
Mahavir Shah,0.002851110082079129
Rishi Kapoor,0.005284783800270356
Sophie Traub,0.0012317772894939443
Jeffrey Tam,5.259196954543096e-14
John Hurt,0.07419281856036394
Tony Cavalero,0.006155212977582328
Michael Beach,0.006155212977582328
Nicholas Colasanto,0.06904313023127893
Juhi Chawla,0.002403916685554708
Zach Galifianakis,0.0015639992431114888
Supriya Pathak,0.00337088875383257
Surekha Sikri,0.0026852364674481563
Parakh Madan,0.0013068423860920254
Yunus Parvez,0.0021634896236442528
Hilda Dokubo,2.023841733007494e-14
Bridget Fonda,0.007434569841649816
Phil Crowley,0.013326076187162923
Charlotte d'Amboise,0.0035162022175278984
Bhumi Pednekar,0.0027584444064321797
Owen Kline,0.0035162022175278984
Lateef Adedimeji,2.023841733007494e-14
Laura Kightlinger,0.010906995117350089
Joseph Gordon-Levitt,0.07478929472999804
Michael Esper,0.0035162022175278984
Britta Phillips,0.0035162022175278984
Boman Irani,0.003460479642516483
David Oyelowo,0.07516063289478019
Adhir Kalyan,0.010906995117350089
Judi Dench,0.003011937226868761
Caroline Goodall,0.0741568918920907
Dimple Kapadia,0.0025745614180152916
Benjamin Flores Jr.,0.007108265710278606
Johnny Depp,0.006160593817004975
Akash Khurana,0.0008338476165298962
John Lloyd Cruz,5.259196954543096e-14
Danny McBride,0.0014035492996647952
Nagarjuna Akkineni,0.0006874653584698834
Ademola Adedoyin,2.023841733007494e-14
John C. Reilly,0.07261176430837918
Jacky Ido,0.007335531134217796
Kate Capshaw,0.07489487518014941
Fred Armisen,0.0022955975713880466
Jadagrace,0.006155212977582328
Helena Bonham Carter,0.007029054224636812
Nathalie Baye,0.0741568918920907
Brittany Murphy,0.00375564310501087
Susan Wood,0.06904313023127893
Friedrich von Thun,0.0741568918920907
Sandeep Bharadwaj,0.0006874653584698834
Christoph Waltz,0.007335531134217796
Sanjay Kapoor,0.0034751317858198938
Arshad Warsi,0.003230277759565395
Peter Gerety,0.012478657424964661
Amanda Plummer,0.007335531134217796
Kendrick Cross,0.007661758587906537
Sam Rockwell,0.0064547881869484415
Richard Tyson,0.007651409657141501
Andrew Bowen,0.0013133024306897867
Shefali Shah,0.001584542406139378
Amanda Seyfried,0.005214711023064775
Luke Wilson,0.008902029441783678
Steven Prince,0.06904313023127893
Michael Parks,0.008199105107710741
Sid Haig,0.007335531134217796
Angélique Kidjo,2.023841733007494e-14
Ronald Lacey,0.0741568918920907
Khalil Ramos,5.259196954543096e-14
Femi Adebayo,2.023841733007494e-14
Demián Bichir,0.007335531134217796
Arlene Muchlach,5.259196954543096e-14
Halle Berry,0.020916522820961313
Tanikella Bharani,0.0006874653584698834
Michael Byrne,0.07513901295937926
Harry Northup,0.06904313023127893
Gulshan Grover,0.0030445162675343733
Alan Alda,0.0038288940083321564
