,kevin_bacon,max_dist,connected_component_size
0,Amrish Puri,3,852
1,Steve Eastin,3,852
2,Amy Adams,3,852
3,John Hurt,3,852
4,Joseph Gordon-Levitt,3,852
5,David Oyelowo,3,852
6,Caroline Goodall,3,852
7,Johnny Depp,3,852
8,John C. Reilly,3,852
9,Kate Capshaw,3,852
10,Nathalie Baye,3,852
11,Friedrich von Thun,3,852
12,Ronald Lacey,3,852
13,Michael Byrne,3,852
14,Mark Ivanir,3,852
15,Patrick Kennedy,3,852
16,Dennis Quaid,3,852
17,Leonardo DiCaprio,3,852
18,Bruce McGill,3,852
19,Karen Allen,3,852
20,Cate Blanchett,3,852
21,Julian Glover,3,852
22,Om Puri,3,852
23,Jeremy Irvine,3,852
24,Wolf Kahler,3,852
25,Igor Jijikine,3,852
26,Sean Connery,3,852
27,Hal Holbrook,3,852
28,David Thewlis,3,852
29,Ben Kingsley,3,852
30,Jonathan Ke Quan,3,852
31,Andrzej Seweryn,3,852
32,David Kross,3,852
33,Vic Tablian,3,852
34,Jonathan Sagall,3,852
35,Tom Hanks,3,852
36,Peter Mullan,3,852
37,Rainer Bock,3,852
38,Nicolas Bro,3,852
39,Gerard Butler,3,852
40,Liam Cunningham,3,852
41,Sally Field,3,852
42,Jamie Bell,3,852
43,David Strathairn,3,852
44,Alison Doody,3,852
45,Liam Neeson,3,852
46,Daniel Mays,3,852
47,Christopher Walken,3,852
48,Brian Howe,3,852
49,Benedict Cumberbatch,3,852
50,Crispin Glover,3,852
51,Ric Young,3,852
52,Paul Freeman,3,852
53,John Hawkes,3,852
54,Emily Watson,3,852
55,Małgorzata Gebel,3,852
56,Anthony Higgins,3,852
57,Anupam Kher,3,852
58,Ralph Fiennes,3,852
59,Beatrice Macola,3,852
60,Jackie Earle Haley,3,852
61,James Brolin,3,852
62,David Yip,3,852
63,Shia LaBeouf,3,852
64,Martin Sheen,3,852
65,Robert Eddison,3,852
66,Roy Chiao,3,852
67,Frank John Hughes,3,852
68,Ray Winstone,3,852
69,Daniel Day-Lewis,3,852
70,James Spader,3,852
71,Morgan Freeman,3,852
72,Chua Kah Joo,3,852
73,Denholm Elliott,3,852
74,Gad Elmaleh,3,852
75,Philip Stone,3,852
76,Simon Pegg,3,852
77,Shmulik Levy,3,852
78,Josh Hartnett,3,852
79,Embeth Davidtz,3,852
80,Toby Kebbell,3,852
81,Tommy Lee Jones,3,852
82,Kevork Malikyan,3,852
83,Jim Broadbent,3,852
84,Niels Arestrup,3,852
85,Joseph Cross,3,852
86,Willem Dafoe,3,852
87,River Phoenix,3,852
88,John Rhys-Davies,3,852
89,Eddie Marsan,3,852
90,Jeff Daniels,3,852
91,Tom Hiddleston,3,852
92,Toby Jones,3,852
93,Daniel Craig,3,852
94,Harrison Ford,3,852
95,Nick Frost,3,852
96,Roshan Seth,3,852
97,Jared Harris,3,852
98,Alfred Molina,3,852
99,Joe Starr,3,852
100,Lydia Forson,1,55
101,Hamzat Sherifdeen,1,55
102,Kate Adepegba,1,55
103,Nico Panagio,1,55
104,Peter King Nzioki Mwania,1,55
105,David Bailie,1,55
106,Chika Okpala,1,55
107,Nick Rhys,1,55
108,Ombo Gogo Ombo,1,55
109,Ramsey Nouah,1,55
110,Chika Chukwu,1,55
111,Fabian Adeoye Lojede,1,55
112,Aurélie Eliam,1,55
113,Dayo Akinpelu,1,55
114,Samuel Olasehinde,1,55
115,Joke Silva,1,55
116,Ayo Adesanya,1,55
117,Kehinde Bankole,1,55
118,Akim Mogaji,1,55
119,Ayo Mogaji,1,55
