node,value
Daniel Mays,0.07295911914224928
Ronald Lacey,0.07295911914224928
Sadashiv Amrapurkar,0.015374551879187943
Alfred Molina,0.07550353333176964
Boman Irani,0.014638452745704886
Phil Crowley,0.020984419201079216
Tara Sharma,0.014638452745704886
Robert De Niro,0.07066252332059388
Halle Berry,0.02585335052500827
Emma Stone,0.02167843858898957
Murray Moston,0.06966668992639541
Daniel Day-Lewis,0.12992035286266657
John Rhys-Davies,0.07344402251287555
Ben Kingsley,0.0742191003334831
Steven Prince,0.06966668992639541
Steve Eastin,0.07295911914224928
Kiara Advani,0.014638452745704886
Steve Zahn,0.02243841331617854
Christopher Walken,0.07596873630590494
Harrison Ford,0.07366333064388884
Richa Chadda,0.014638452745704886
Keir O'Donnell,0.020984419201079216
Vinod Nagpal,0.014638452745704886
Lacey Chabert,0.020984419201079216
Josh Duhamel,0.020984419201079216
Manisha Koirala,0.015366247812227249
Greg Kinnear,0.024635229636214298
Adhir Kalyan,0.020984419201079216
Manu Rishi Chadha,0.015373295239386606
Gary Basaraba,0.06966668992639541
Herry Tangdi,0.014638452745704886
Arya Banerjee,0.014638452745704886
Nathalie Baye,0.07295911914224928
Liam Neeson,0.13040525623329283
Mark Ivanir,0.07320303229598989
Thomas Barbusca,0.020984419201079216
River Phoenix,0.07295911914224928
Brendan Gleeson,0.07114019044226289
Amy Adams,0.07531584341299273
Domenick Lombardozzi,0.06966668992639541
Ellen Burstyn,0.07039595824615145
Shmulik Levy,0.07295911914224927
Efren Ramirez,0.020984419201079216
Jack McBrayer,0.021702670975929927
Randeep Hooda,0.015374551879187943
Bhumi Pednekar,0.014638452745704886
Stephen Merchant,0.020984419201079216
Alison Doody,0.07295911914224927
Daniel Craig,0.07343732460168885
Sukant Goel,0.014638452745704886
Abhay Deol,0.014638452745704886
Chris Pratt,0.023181599742918495
Griffin Gluck,0.020984419201079216
Welker White,0.06966668992639542
Mrunal Thakur,0.014638452745704886
Anna Faris,0.020984419201079216
Ralph Fiennes,0.07295911914224927
Toby Kebbell,0.07320302797322278
Kate Winslet,0.024298515865887195
Ronee Blakley,0.06966668992639542
Cybill Shepherd,0.06966668992639542
Joe Starr,0.07295911914224927
Janhvi Kapoor,0.014638452745704886
Patrick Warburton,0.024486431864354157
Joseph Bono,0.06966668992639542
Gerard Butler,0.02259437792535816
Jesse Plemons,0.07189174783682396
Igor Jijikine,0.07295911914224927
John C. Reilly,0.07254343728604146
Harvey Keitel,0.0708846858203649
Vijay Varma,0.014638452745704886
Nitish Pandey,0.014638452745704886
Kate Capshaw,0.07365610875044609
Johnny Knoxville,0.021720562756082824
Caroline Goodall,0.07295911914224927
Emraan Hashmi,0.014638452745704886
Ray Romano,0.06988820362339682
Bob Dylan,0.06966668992639542
Amrish Puri,0.07434602086865404
Jayma Mays,0.020984419201079216
Radhika Apte,0.014638452745704886
Mark Wahlberg,0.07041239126082872
Supriya Pathak,0.015374551879187943
Roger McGuinn,0.06966668992639542
Ric Young,0.07295911914224927
Anshuman Jha,0.014638452745704886
Shruti,0.014638452745704886
Liam Cunningham,0.07295911914224927
Paresh Rawal,0.015374551879187943
Sharon Stone,0.07112536957367954
Aasif Mandvi,0.02173658482133408
John Hodgman,0.020984419201079216
Lisa Edelstein,0.020984419201079216
Andrzej Seweryn,0.07295911914224927
Wolf Kahler,0.07295911914224927
Sam Shepard,0.07014418261155338
Naomi Watts,0.022400947676882558
Niels Arestrup,0.0731740588847995
