node,value
Jared Harris,0.005892973100392334
Niels Arestrup,0.005892973100392334
Anna Paquin,0.005415062834669091
Embeth Davidtz,0.005892973100392334
Jonathan Sagall,0.005892973100392334
James Brolin,0.005892973100392334
Simon Pegg,0.005892973100392334
Liam Cunningham,0.005892973100392334
Harry Northup,0.005415062834669091
Martin Sheen,0.01063004836553902
Ric Young,0.005892973100392334
Nick Frost,0.005892973100392334
Bob Dylan,0.005415062834669091
Ronnie Hawkins,0.005415062834669091
Roy Chiao,0.005892973100392334
David Oyelowo,0.00595120795440023
Murray Moston,0.005415062834669089
Nicolas Bro,0.005892973100392334
George Memmoli,0.005415062834669091
Sebastian Maniscalco,0.005415062834669091
Patti Smith,0.005415062834669091
Friedrich von Thun,0.005892973100392334
Cameron Diaz,0.005478324463054274
Sharon Stone,0.005541600391537112
Joseph Cross,0.005892973100392334
Robert Eddison,0.005892973100392334
Anne Collette,0.005415062834669091
Ralph Fiennes,0.005892973100392334
Philip Stone,0.005892973100392334
Hal Holbrook,0.005892973100392334
Jeremy Irvine,0.005892973100392334
Peter Mullan,0.005952573416986954
Liam Neeson,0.01063004836553902
Robert De Niro,0.005479577406517339
Allen Ginsberg,0.005415062834669091
Michael Scala,0.005415062834669091
Alec Baldwin,0.005479577406517339
Catherine Scorsese,0.005415062834669091
Sam Shepard,0.005415062834669091
Scarlet Rivera,0.005415062834669091
Lelia Goldoni,0.005415062834669091
Igor Jijikine,0.005892973100392334
Zina Bethune,0.005415062834669091
Toby Kebbell,0.005892973100392334
Rainer Bock,0.005892973100392334
Paul Freeman,0.005892973100392334
Ray Winstone,0.01063004836553902
Roger McGuinn,0.005415062834669091
Anthony Higgins,0.005892973100392334
Bruce McGill,0.005951880580580334
Richard Higgs,0.005415062834669091
Victor Argo,0.005415062834669091
Ronee Blakley,0.005415062834669091
Brian Howe,0.005892973100392334
Albert Brooks,0.005478324463054274
Kris Kristofferson,0.005415062834669091
Amy Adams,0.0060704220585362555
Frank Adonis,0.005415062834669091
Marissa Mathes,0.005415062834669091
Shmulik Levy,0.005892973100392334
Joe Pesci,0.005415062834669091
Sally Field,0.005892973100392334
Jim Broadbent,0.01063004836553902
Jamie Bell,0.00595120795440023
Michael Byrne,0.005951880580580334
Jack Nicholson,0.005415062834669091
Mario Gallo,0.005415062834669091
Sean Connery,0.005892973100392334
Diane Ladd,0.005415062834669091
Frank Vincent,0.005415062834669091
John Hurt,0.005892973100392334
Jesse Plemons,0.005606777555632266
