node,value
Friedrich von Thun,0.005678256636576564
Anna Paquin,0.005666276867115015
Daniel Mays,0.005678256636576564
Igor Jijikine,0.005678256636576564
Ray Romano,0.005666276867115015
Rainer Bock,0.005678256636576564
Gad Elmaleh,0.005678256636576564
Eddie Marsan,0.005678256636576564
Ronee Blakley,0.005666276867115015
Jamie Bell,0.005733614359651609
Harrison Ford,0.0057335179901856935
Amy Robinson,0.005666276867115015
Harry Northup,0.005666276867115015
Theresa Saldana,0.005666276867115015
Kris Kristofferson,0.005666276867115015
Liam Cunningham,0.005678256636576564
Marin Ireland,0.005666276867115015
Ramblin' Jack Elliott,0.005666276867115015
Henry Thomas,0.005666276867115015
David Oyelowo,0.005733614359651609
Jeremy Irvine,0.005678256636576564
Shmulik Levy,0.005678256636576564
James Brolin,0.005678256636576564
Nicolas Bro,0.005678256636576564
Ben Kingsley,0.005733517181262863
Ray Winstone,0.010219846793174366
Ronnie Hawkins,0.005666276867115015
Jodie Foster,0.005666276867115015
Cybill Shepherd,0.005666276867115015
Frank Adonis,0.005666276867115014
David Proval,0.005666276867115014
Embeth Davidtz,0.0056782566365765645
Daniel Day-Lewis,0.010219846793174366
Philip Stone,0.0056782566365765645
Hal Holbrook,0.0056782566365765645
David Thewlis,0.0057888721484503905
Welker White,0.005666276867115015
Lane Bradbury,0.005666276867115014
Gary Basaraba,0.005666276867115014
Alec Baldwin,0.005720957075229148
Toby Jones,0.005678256636576564
Daniel Craig,0.005678256636576564
Denholm Elliott,0.005678256636576564
Brendan Gleeson,0.005775886903876975
Joseph Gordon-Levitt,0.005678256636576564
Peter Mullan,0.005733421322227676
Marissa Mathes,0.005666276867115015
John Hawkes,0.0057335179901856935
Joan Baez,0.005666276867115015
Frank John Hughes,0.005678256636576563
Michael Byrne,0.005733517990185693
Joe Pesci,0.005666276867115015
John Rhys-Davies,0.005678256636576563
Lennard Kuras,0.005666276867115015
Karen Allen,0.005678256636576563
Louis Cancelmi,0.005666276867115015
Simon Pegg,0.005678256636576562
Mark Wahlberg,0.005720955280765801
Anne Waldman,0.005666276867115015
Sharon Stone,0.005775971492066246
Patti Smith,0.005666276867115015
