node,value
Richard Finn,0.6727272727272727
Tim Maltby,0.5909090909090909
Fernando Lebrija,0.36363636363636365
Gabe Ibáñez,0.27898550724637683
Henrik Ruben Genz,0.6621621621621622
Daniel Alfredson,0.15858585858585858
Gaspar Noé,0.0
Tom O'Brien,0.16666666666666666
Antoine Bardou-Jacquet,0.7121212121212122
Brad Anderson,0.16312056737588654
Austin Stark,0.4045977011494253
Hannah Fidell,0.21818181818181817
Sopon Sukdapisit,0.6
Kevin R. Adams,0.3576965669988926
Joe Ksander,0.3576965669988926
Ian Samuels,0.17582417582417584
Franck Ribière,1.0
Daniele Thompson,0.26666666666666666
Anubhav Sinha,0.26811594202898553
Tharun Bhascker,0.0
Tom Gianas,0.21254355400696864
Ross R. Shuman,0.21254355400696864
Rajkumar Hirani,0.3804902962206333
Robert Osman,0.5
Nathanael Wiseman,0.5
Jon Spira,0.0
Mez Tharatorn,0.3333333333333333
Adisorn Tresirikasem,1.0
Banjong Pisanthanakun,0.35555555555555557
Paween Purikitpanya,0.9333333333333333
Songyos Sugmakanan,0.9333333333333333
Parkpoom Wongpoom,0.9333333333333333
Visute Poolvoralaks,0.9333333333333333
Chayanop Boonprakob,0.7333333333333333
Susan Johnson,0.07905138339920949
Lynn Shelton,0.21453900709219859
Farhan Alam,1.0
Chad Archibald,0.0
Brian Baugh,0.0
A. L. Vijay,0.17786561264822134
Ryan Coogler,0.21904761904761905
Ben Palmer,0.13071895424836602
Chris Howe,0.0
Ken Kwapis,0.32548076923076924
Park In-je,0.3333333333333333
Jesse V. Johnson,0.10194805194805195
Mahsun Kırmızıgül,0.2153846153846154
Monique Gardenberg,0.16666666666666666
Mike Flanagan,0.23846153846153847
Ritesh Batra,0.21052631578947367
William Lau,0.3285024154589372
Brian De Palma,0.3
Rizal Mantovani,0.46153846153846156
Han Yan,0.4
Jeremy Saulnier,0.10510510510510511
Raditya Dika,0.8095238095238095
Rocky Soraya,0.3787878787878788
Sunil Soraya,0.46153846153846156
Gupse Özay,0.13333333333333333
Jim Mickle,0.0
Chi Fat Chan,0.0
Nabil Ayouch,0.0
Rob LaDuca,0.21693121693121692
Robert C. Ramirez,0.21693121693121692
Mangesh Hadawale,0.0
Wong Kar Wai,0.24242424242424243
Rob Cohen,0.17306052855924978
Louis J. Horvitz,0.23478260869565218
Linda Saffire,0.6666666666666666
Adam Schlesinger,0.6666666666666666
Le Van Kiet,0.0
Eric Summer,0.32051282051282054
Éric Warin,0.32051282051282054
B. V. Nandini Reddy,0.4
Mario Van Peebles,0.41379310344827586
Ava DuVernay,0.19047619047619047
Benjamin Turner,0.2
Michael J. Bassett,0.3353658536585366
Troy Miller,0.14893617021276595
Tan Bing,0.2857142857142857
Warren P. Sonoda,0.0
Álex de la Iglesia,0.22486772486772486
Rahul Ravindran,0.14285714285714285
Archie Borders,0.6060606060606061
Bobcat Goldthwait,0.4666666666666667
Deepti Naval,0.38769230769230767
Morgan Neville,0.23636363636363636
Anthony Byrne,0.13186813186813187
Chris Moukarbel,0.0
Ana Lily Amirpour,0.23636363636363636
Alex Winter,0.5897435897435898
Kemi Adetiba,0.7142857142857143
Toka McBaror,0.4945054945054945
Gilles Paquet-Brenner,0.2547568710359408
Niyi Akinmolayan,0.42857142857142855
Rashida Jones,1.0
Alan Hicks,1.0
Scott Aukerman,0.12867132867132866
Amara Cash,0.0
Bedran Güzel,0.6071428571428571
Chun Wong,0.6111111111111112
Coerte Voorhees,0.8333333333333334
John Voorhees,0.8333333333333334
Ham Tran,0.0
Feng Xiaogang,0.6
Gary Michael Schultz,0.1368421052631579
Liv Ullmann,0.2857142857142857
Sandeep Reddy Vanga,0.4298850574712644
Jacques Perrin,1.0
Jacques Cluzaud,1.0
Justin Benson,0.6666666666666666
Aaron Moorhead,0.6666666666666666
Zack Whedon,0.10606060606060606
Eric Stoltz,0.32967032967032966
Conrad Helten,0.33048433048433046
Teo Konuralp,1.0
Chris Perkel,0.0
Cheh Chang,0.9
Manny Rodriguez,0.45454545454545453
Robert Eggers,0.3333333333333333
Chuck Russell,0.30409356725146197
John Erick Dowdle,0.14285714285714285
Edgar Wright,0.2714285714285714
Tony Elliott,0.6666666666666666
Tom Donahue,0.0
Michèle Ohayon,0.0
Timothy Woodward Jr.,0.2676923076923077
Nia Dinata,0.42857142857142855
Mark O'Connor,0.0
Ajithkumar,0.3333333333333333
Lucky Kuswandi,0.0
Riri Riza,0.3974358974358974
Vijay Milton,0.0
Santwana Bardoloi,1.0
Atanu Ghosh,0.4444444444444444
Amitava Bhattacharya,0.5909090909090909
Partha Chakraborty,0.2
Angelina Jolie,0.0
Pavel Parkhomenko,0.0
Azfar Jafri,0.6
R. Ellis Frazier,0.21212121212121213
Roman Atwood,0.0
Ben Pluimer,0.0
Dan Forrer,0.0
Randall Lobb,0.358974358974359
Stacie Passon,0.22727272727272727
Manop Janjarasskul,0.0
Shinsuke Sato,0.0
Chatchai Katenut,1.0
Manussa Vorasingha,1.0
Tanwarin Sukkhapisit,1.0
Poj Arnon,0.6
Ariel Vromen,0.10714285714285714
Nicole Holofcener,0.3190883190883191
Jerry G. Angelo,0.3333333333333333
Michael Feifer,0.0
Elle Callahan,0.0
Alex Stapleton,1.0
Kıvanç Baruönü,0.6444444444444445
Teng Huatao,0.0
Nzingha Stewart,0.47619047619047616
Mark Dennis,1.0
Ben Foster,1.0
David Soren,0.11512345679012345
Alessio Cremonini,0.3333333333333333
Michael Simon,0.6111111111111112
Joram Lürsen,0.0
Oliver Frampton,0.0
Mike Binder,1.0
Ryan Murphy,0.43882978723404253
Mark Franchetti,0.0
Andrew Meier,0.0
Damián Romay,0.3333333333333333
Trent Haaga,0.3787878787878788
Mary Harron,0.22
Roger Donaldson,0.4666666666666667
Steven C. Miller,0.6025641025641025
Richard Miron,0.0
Tony Leondis,0.23440860215053763
Roger Kumble,0.32605042016806723
Kunle Afolayan,0.3904761904761905
Craig Gillespie,0.36415362731152207
Nick Cassavetes,0.19473684210526315
Clint Eastwood,0.15384615384615385
