kevin_bacon,max_dist,connected_component_size
McG,8,2513
Paul Haggis,8,2513
Lasse Hallström,8,2513
Shane Acker,8,2513
Terry Gilliam,8,2513
Andrew Stanton,8,2513
Gonzalo López-Gallego,8,2513
Jalil Lespert,8,2513
Timothy Reckart,8,2513
Atom Egoyan,8,2513
Susanne Bier,8,2513
Kazuaki Kiriya,8,2513
Marie Madinier,8,2513
Gaspar Noé,0,1
Note Chern-Yim,3,19
Chad Archibald,0,1
Chris Howe,0,1
Nabil Ayouch,0,1
Le Van Kiet,0,1
Chris Moukarbel,0,1
Dejan Zečević,1,2
Amara Cash,1,2
Ham Tran,0,1
Chris Perkel,0,1
Tom Donahue,0,1
Michèle Ohayon,0,1
Lucky Kuswandi,0,1
Angelina Jolie,0,1
Pavel Parkhomenko,0,1
Roman Atwood,1,2
Ben Pluimer,1,2
Dan Forrer,0,1
Shinsuke Sato,1,2
Isao Yukisada,1,2
Michael Feifer,0,1
Teng Huatao,0,1
Joram Lürsen,1,2
Mathieu Auvray,1,2
Mark Franchetti,1,2
Andrew Meier,1,2
Richard Miron,0,1
Lea Glob,1,2
Petra Costa,1,2
Ahmed Zain,0,1
Jordi Llompart,0,1
Jatla Siddartha,0,1
Todd S. Yellin,0,1
Alban Teurlai,1,2
Thierry Demaizière,1,2
Raz Degan,0,1
Drew Stone,0,1
Jelle de Jonge,0,1
Kaila York,0,1
Dustin Nguyen,0,1
Onur Bilgetay,0,1
Tugçe Soysop,0,1
Juani Libonatti,0,1
Errol Morris,0,1
Joe Camp,0,1
Brandon Jones,0,1
Matt Kay,0,1
Julien Rambaldi,1,4
Aleksey German,0,1
Joe Boyd,3,7
Andrew Slater,3,7
Jedd Wider,1,2
Todd Wider,1,2
Anthony Giordano,0,1
Raúl Campos,1,6
Jan Suter,1,6
Kim Joo-hyung,0,1
Tom Forrest,0,1
David Stubbs,1,2
Robert Tate,1,2
Matías Gueilburt,0,1
Raj B. Shetty,0,1
Xavier Gens,1,3
Jean-François Blais,0,1
Leïla Sy,1,2
Kery James,1,2
Mahmoud al Massad,0,1
Mahmoud Sabbagh,0,1
Maciej Dejczer,0,1
Roy Poortmans,0,1
Janusz Majewski,0,1
Nicholaus Goossen,0,1
Morgan Spurlock,0,1
Eduardo Mendoza de Echave,1,2
Dorian Fernández-Moris,1,2
Marek Piwowski,0,1
Stanisław Różewicz,0,1
Krzysztof Zanussi,0,1
Alê Abreu,0,1
Brett Harvey,0,1
Guilherme Fontes,0,1
Aamir Bashir,0,1
Pieter Kuijpers,0,1
Linda Otto,0,1
