node,value
Jeffrey Nachmanoff,0.00032090664036835777
Supavitra Babul,0.0008007119611637589
Noah Baumbach,0.00015293111567905155
Sarah Adina Smith,3.031837934334661e-05
Mark Columbus,3.088755703935019e-05
Julian Jarrold,1.4306289610155598e-05
Anand Tucker,5.218726965760254e-05
Robert Vince,9.90623423395769e-05
Stu Livingston,0.0001115914226288567
Haissam Hussain,0.0005150585255044826
Shlok Sharma,0.0012479026033370018
Kathryn Bigelow,6.845944328359172e-05
Amit Rai,0.0040556553530057046
Rajkumar Hirani,0.006392699092078596
Abbas Tyrewala,0.0011330414741931249
Mike Newell,0.0001395092779991732
Castille Landon,2.9210344652871977e-05
Gulzar,0.0011276379859503824
Karen J. Lloyd,1.238224232575282e-06
Joe Johnston,6.117719003499515e-05
Tom Hooper,8.991202345721462e-05
Sam Taylor-Johnson,1.1584457507182715e-05
Adam Nimoy,4.49005187196259e-05
Raj Kanwar,0.004950401157326329
Tanveer Khan,0.0020062934412037373
Kieran Darcy-Smith,1.9463639608420017e-05
Jaivi Dhanda,0.00015631852532657886
Apoorva Lakhia,0.005515278374724995
Matthew Vaughn,9.095407864264963e-05
Partho Ghosh,0.0033706488242230986
A. Salaam,0.0014924812598151203
Vishal Mishra,0.0011398061013511063
Rick Morales,8.848264580956993e-06
Kushal Srivastava,0.000922142407901567
Jarrad Paul,2.792303082026317e-05
Akiva Schaffer,5.19186256652533e-05
Frank Paur,1.6937443390587342e-05
Jeeva,0.00218531265011418
Steve Antin,0.00012538157525669366
Hiromasa Yonebayashi,0.00012954964081408858
Gauri Shinde,0.002991363139395945
Nancy Meyers,2.626894203807398e-05
Deniz Gamze Ergüven,0.00012819126258661184
Sam Raimi,0.00018378684566807527
Amy Poehler,1.2792001561416261e-05
Shyam Benegal,0.00638669029159155
Kavi Raz,0.0003679133981417168
Benjamin Arfmann,9.522231742298079e-06
Karthik Subbaraj,0.0010494414027583587
Nikhil Nagesh Bhat,0.0005087313207022507
Satish Kaushik,0.005741390486633264
Claude Barras,1.5374744317741636e-05
Mike Gunther,2.163957296707009e-05
Samit Kakkad,0.000792360816986327
Ben Shelton,9.0769346152415e-06
Roger Allers,0.0002913704483480187
Amarpreet G S Chabbra,8.515288894938149e-05
John Irvin,2.5498384954676814e-05
Lone Scherfig,3.494060709641903e-05
Chris Sivertson,9.715162069814398e-06
Byron Howard,0.0001764738414985827
Nalan Kumarasamy,0.0014653333632512699
Wayne Orr,1.196598398027819e-05
Ethan Coen,0.00010286588601969025
James Ponsoldt,2.6940366780433177e-05
Kristian Levring,1.2019447181012261e-05
