node,value
Tamara Jenkins,0.026723820892275815
Matthias Hoene,0.017686985473586256
Tomm Moore,0.02722896241282584
Noah Baumbach,0.042558518736325546
Larry Latham,0.023662766349643934
Simon Wells,0.026852276424614477
Santram Varma,0.02061573156839193
Raj Amit Kumar,0.020897920443284524
Andrew Niccol,0.022397377620163677
Beeban Kidron,0.019126732185719943
Mary Harron,0.021735662558907378
Alex Proyas,0.02270646581030597
David Ayer,0.024461255811501468
Steve Loter,0.026569691798671493
Ron Oliver,0.019313249958129233
Roman Coppola,0.02365316942609637
Mahmood Farooqui,0.0368248310964319
Tarsem Singh,0.022756571066769756
James Gunn,0.07155886177163258
Rai Yuvraj Bains,0.018244283486319218
David E. Talbert,0.019321963162820567
Eric Summer,0.017447026034534404
David O. Russell,0.02098057667428551
Sangeeth Sivan,0.04860841911077019
Ryan Murphy,0.02790089397155827
Gus Van Sant,0.03922278663272221
Wes Craven,0.0374158650761294
Grant Heslov,0.023715780595716322
Puri Jagannadh,0.03820134823410377
Kelly Fremon Craig,0.019085702141065634
Meenu Gaur,0.019570891880020005
Charlie McDowell,0.019744481847640934
Rakesh Mehta,0.04335645738670288
Matt Shakman,0.02126209766183062
Marc Abraham,0.02971088206233076
Nicolas Winding Refn,0.0233254289847181
Scott Marshall Smith,0.01919840265065352
Peter Sattler,0.017605092659659847
Abhay Chopra,0.022125697911112317
Adam Egypt Mortimer,0.019521978107480697
Sidharth Malhotra,0.03003362194359581
John Lee Hancock,0.03595826880914369
Bill Plympton,0.02722896241282584
Lee Tamahori,0.05361649855001197
Colin Teague,0.018224912751157674
Jay Chapman,0.01775060624691734
Nicholas Stoller,0.02090251265994715
Charles Martin Smith,0.020619069796360072
Mark Dindal,0.0318485534659058
Phil Morrison,0.019204729743420978
Timothy Woodward Jr.,0.021056695881737374
Ben Palmer,0.01908050442093668
Ashutosh Gowariker,0.05204804978402577
Chris Koch,0.018584586300050325
Lone Scherfig,0.02210697580427244
Tony Leondis,0.022649071224811527
Michael J. Bassett,0.030758793788468648
David Lee Miller,0.01781793055299372
Kevin Donovan,0.019570996545375027
John Duigan,0.02750116468656709
Chris Kelly,0.020633133600319115
Ryan Polito,0.023000186082183835
Indra Kumar,0.050192770914833346
Hoyt Yeatman,0.030233436588682293
Will Yapp,0.019625842637011066
Onir,0.041594787881956266
Lasse Hallström,0.03961608825864702
Manish Jha,0.046284594410185766
Roger Spottiswoode,0.01957531934546381
Peter Farrelly,0.07807729694539439
Puneet Sira,0.03439938044714985
Mike Disa,0.031918258689582577
Renzil D'Silva,0.044337934628601895
Hugh WIlson,0.01928330527126656
Paul Schrader,0.022603490773774635
Nila Madhab Panda,0.034658015295368376
Ketan Mehta,0.06531066220150046
Santosh Manjrekar,0.020419912600247624
Amber Tamblyn,0.02199852722536375
Paul Haggis,0.0355256509533608
Andrew Duncan,0.021275409190636682
Hemant Gaba,0.026705265838500664
Mir Mukarram Hossain,0.016689352121233812
Rob Reiner,0.0282156166839462
Nic Mathieu,0.018781159852542653
Fernando Lebrija,0.01797276523444403
Gajendra Ahire,0.03037825889123725
Manbhavan Singh,0.020103666089207585
Scott Martin,0.018412233829195757
Michael Goguen,0.017351204237556147
Michael Carney,0.02759380054187003
Bo Welch,0.020160131382147645
Johnny Castuciano,0.0190702687252727
Manish Gupta,0.023737814254393134
Rajshree Ojha,0.026705265838500664
Kathryn Bigelow,0.0224593166215396
Gerard Barrett,0.031532734084644506
George C. Wolfe,0.029375595579414444
Simranjit Singh Hundal,0.01779975246659752
Gary Wang,0.02188912084477348
Abhishek Varman,0.02091633267880017
John H. Lee,0.02061709512091122
Dharmesh Darshan,0.05095390851550376
David Silberg,0.019286098114395238
Jasbir Bijendra Bhati,0.0312662252283327
Biswajeet Bora,0.02001212202492316
Ric Roman Waugh,0.01922653035119404
Andrzej Bartkowiak,0.022910262996851997
Viju Mane,0.01885121351466838
Pawan Kripalani,0.01909623617967805
Jay Baruchel,0.032801787345426915
Sudhanshu Saria,0.018598447769007653
Anthony Russo,0.04183386097604081
Rahat Rahman,0.016689352121233812
Roger Kumble,0.02950082693050757
Barry Jenkins,0.017870588538165685
Mozez Singh,0.020611685840235285
Mark Landre Gould,0.019463101478221244
Priyadarshan,0.07878276138164511
Rajat Kapoor,0.03266810817574725
Àlex Pastor,0.018290588373212617
Edgar Wright,0.03506687681114268
Ken Marino,0.03848387564923101
Max Lang,0.018057477534230617
Jim Stenstrum,0.020623962160722566
Nicole Holofcener,0.021995914769897516
Anurag Singh,0.02381144459305668
Mark Waters,0.021271390383479184
Michael Gallagher,0.018368699472132054
Raj Kumar Gupta,0.032854726672751675
Vijay Kumar Arora,0.017340386842166447
Bauddhayan Mukherji,0.0192455413199433
Vikas Bahl,0.023844051603606874
Jeff Baena,0.029841841721454543
Kazumi Fukushima,0.020623962160722566
Amitabha Singh,0.018994921391765104
Farhan Akhtar,0.0746474866603267
Philipp Stölzl,0.019473190281081913
Steve Sacks,0.021275409190636682
Björn Stein,0.01792842952517309
Rahul Dholakia,0.04176304321660444
Harry Baweja,0.025608050499377026
Theo Davies,0.020488319463319138
Jay Roach,0.03249123408070013
Hideki Futamura,0.016876872931584755
Eli Roth,0.018903983661500274
Claire Scanlon,0.019058865327391088
Stacie Passon,0.0185879358744798
Dave Dorsey,0.02645041343366691
Seth Henrikson,0.02242317338616983
Taika Waititi,0.030568384240494195
Ricky Gervais,0.026087670993039814
Pedro Morelli,0.018337429859962662
Terry Loane,0.018137233260507524
Jay Chandrasekhar,0.029986009711016993
Aubrey Powell,0.0184196758363061
Phil Weinstein,0.0207443634973413
Madhur Bhandarkar,0.06197775483384985
Tejas Prabha Vijay Deoskar,0.019707132884168133
Edward Zwick,0.029962347883454588
Greg Richardson,0.019300067246623958
Ivan Reitman,0.031798834540341395
Eshom Nelms,0.022579915126383562
Anant Balani,0.03326307425975999
Ben Brewer,0.02274325986103712
Richard Kelly,0.022690177641409213
Mike Mills,0.017818863380372564
Eli Craig,0.02350167463799979
Sarah Kruchowski,0.02621509313177718
Jeremy David White,0.02621509313177718
James Marsh,0.019398913036935084
David Leveaux,0.01891262603199132
James Ivory,0.019448505233599103
Phil Johnston,0.03756417441058197
Vijay Lalwani,0.025276843670018773
Nagesh Kukunoor,0.05124209561011677
Bart Freundlich,0.018250826661234114
Ajay Bahl,0.0186984800880242
Mike Gunther,0.020128966064482876
Richard LaGravenese,0.029133700011698457
Jonathan Sobol,0.019002628386658834
Prashant Nair,0.02261923587244579
Munish Bhardwaj,0.025938592242687682
Julie Taymor,0.018765785432713764
Koji Sawai,0.016876872931584755
Steve Antin,0.033854782382364126
Kedar Shinde,0.020955214460198456
Keoni Waxman,0.017252237745348332
Oren Uziel,0.020632852224982963
Dominic Sena,0.04327089533001146
John Irvin,0.019215203162706987
Rajeev Patil,0.017863032332202936
Michael Apted,0.020913273886425505
Latif Faiziyev,0.04702367280196094
Jorge Blanco,0.033748103855637424
Hiroshi Yamazaki,0.016876872931584755
Steve Hickner,0.033280063145128595
Mukul Anand,0.03956024130445062
Evan Spiridellis,0.021655359706593744
Atom Egoyan,0.03288588633358645
Dash Shaw,0.021157434661373153
Pramod Pawar,0.027849179323935325
Jeff Gill,0.021655359706593744
Fabrice Du Welz,0.025105658073709087
Jeeva,0.02851566251011289
Lynn Shelton,0.031601028463266165
Rodney Rothman,0.035454406971138344
Michael Paul Stephenson,0.018764813096561334
Austin Stark,0.02273937323378668
Kazuaki Kiriya,0.021838810873212957
Brendan Malloy,0.017141196882501642
Roland Joffé,0.02434521410504693
Mark Raso,0.02671538388387429
Mark Helfrich,0.018363753852909084
Daniel Alfredson,0.02659350423994493
Maria Pulera,0.020332513689018627
Shawn Levy,0.02386828468600574
Drake Doremus,0.022285515720434395
Jeffrey Nachmanoff,0.023619969560418903
Raja Sen,0.026705265838500664
Prakash Mehra,0.034667563294462134
Toshiyuki Kanno,0.016876872931584755
Robin Swicord,0.020292381288300864
Vinay Sapru,0.029562260105657386
John Luessenhop,0.01989960903398857
Bhushan Patel,0.025006571044231485
Sachin,0.018566675304598063
Simon Savelyev,0.02621509313177718
Ekachai Uekrongtham,0.01863647870757673
R. Balki,0.03983915665577238
Bobby Roth,0.017894719663836767
Milind Rau,0.02056698904224736
Sachin Kundalkar,0.024500974471119753
Todd Phillips,0.01867360179635579
Kyle Newman,0.0266166325275826
James Rogan,0.020372611342825968
Karey Kirkpatrick,0.020424951989659084
Jamie M. Dagg,0.01762845637038769
Julius Onah,0.01949858694598261
Simon J. Smith,0.033280063145128595
Mahsun Kırmızıgül,0.018723624938063312
Sudhir Mishra,0.04765384835078899
Adam Alleca,0.01887597482477123
Norton Virgien,0.01921394114965841
Tensai Okamura,0.020689952931901817
Abbas Alibhai Burmawalla,0.07193050773709805
Subhash Ghai,0.06656233440842209
Mike Flanagan,0.02996144833075845
Rusty Cundieff,0.07286934554264225
Alfred Gimeno,0.020720832633181564
Adam Smith,0.018126222017762098
Gonzalo López-Gallego,0.020833086607299205
Pankaj Batra,0.027661077737387813
Gary Shore,0.019521978107480697
Golam Kibria Farooki,0.016689352121233812
Valli Bindana,0.02712614489130895
William H. Macy,0.021305914727020373
Sam Raimi,0.04621422624582951
Iain Softley,0.023390902314561035
Marco Schnabel,0.022772277960542642
Gerard McMurray,0.023139906891086068
Brian A. Miller,0.020220838779713406
Aditya Sarpotdar,0.020940783266703445
Kabir Khan,0.03353409476918114
Neal Brennan,0.029550967088665912
Scott Stewart,0.034198795959038436
Vivek Agnihotri,0.037527910322017625
Habib Faisal,0.02220559090114961
James Wong,0.030226382702004246
Mukesh Vohra,0.018839424708063015
Alejandro Agresti,0.019484119954020725
Umesh Ghadge,0.02781329587867676
Sanjay Gupta,0.024560904651237354
Mark Rosman,0.022742545806157127
Frank Miller,0.028152725124848368
Anne Fontaine,0.027571662314176997
Bruce McCulloch,0.020046619283649265
Kevin Lima,0.01871621117699713
Jonathan Hensleigh,0.036870338805805786
Sukhbir Singh,0.017182666197174647
Leslye Headland,0.030142517742155654
Michael Bay,0.025607637606869092
Sujeeth,0.02788390815476564
Rahat Kazmi,0.02118414149521354
John Stockwell,0.019484945698450235
Tony Kaye,0.01943137743839497
Praveen Nischol,0.03101663447070183
Meghan O'Hara,0.018657699767217886
Joshua Marston,0.018358217860617636
Peyton Reed,0.04914794711033026
Jayson Thiessen,0.01926722382771882
Zach Braff,0.024776604376760127
Gore Verbinski,0.027139962257074518
Andrés Couturier,0.01741967681595147
Jeff Wadlow,0.022045550043628036
Michael Polish,0.01967714713760729
Vishal Bhardwaj,0.05823266057623626
Kavi Raz,0.01841153437701621
Brian Levant,0.03450043624249481
Paul Reubens,0.0180955755910023
Sriram Raghavan,0.04266474759378617
Gurinder Chadha,0.03362503464957806
Ahsan Rahim,0.0200345146692326
Joel Schumacher,0.030150357493594848
Keenen Ivory Wayans,0.02801345108761665
Roland Emmerich,0.01867270570789488
Syed Ahmad Afzal,0.02749237211756426
Robert Kouba,0.018476932614919468
Christian Desmares,0.02392773857013853
Mastan Alibhai Burmawalla,0.07193050773709805
Susanne Bier,0.0203946516572628
David Beier,0.02645041343366691
Christopher Guest,0.024600889738819774
Richard Bates Jr.,0.018590873559797123
Barry Sonnenfeld,0.03965414299988664
Julian Jarrold,0.018136597495666887
Joan C. Gratz,0.02722896241282584
Chuck Russell,0.020042748881125318
Jay Surridge,0.02043711814094317
Peter Segal,0.032395206055006086
Ian MacNaughton,0.020054275225000275
Gilles Paquet-Brenner,0.031926377129701915
Conrad Helten,0.018688227954434342
Ira Sachs,0.03303964543941866
Chris Nelson,0.02505757613781076
Jason Winer,0.022308302745605073
Steven Brill,0.02638077694397448
Harjit Singh,0.020103666089207585
David Soren,0.0353787597629939
Krishnendu Chattopadhyay,0.016689352121233812
Smeep Kang,0.018220285125171504
Francis Ford Coppola,0.01893007233119692
Victor Dal Chele,0.020720832633181564
Mario Van Peebles,0.022293300732540836
Rob Burnett,0.029356544183864398
John Hillcoat,0.022926850180327047
Aruna Raje,0.021381042466613567
Qaushiq Mukherjee,0.028751011891539707
Måns Mårlind,0.01792842952517309
Joe Dante,0.0235243010814005
Oliver Stone,0.027536878704250853
Mark Williams,0.04867036169912986
David Fincher,0.027261433744475812
Werner Herzog,0.024638759504766797
Jon Turteltaub,0.02612694163849343
David Michôd,0.02240080204963673
Renny Harlin,0.02603975198299374
Isaac Rentz,0.020500529434103364
Amaan Khan,0.05536236886717
Kristian Levring,0.01769041180126109
Farah Khan,0.06900793327078503
K.C. Bokadia,0.03781766100060646
Ben Shelton,0.01768166220671614
