node,value
Jeffrey Nachmanoff,0.0028009626786945686
Supavitra Babul,0.016080335173239344
Noah Baumbach,0.0054456560443168585
Sarah Adina Smith,0.008610489622478696
Mark Columbus,0.040309308232334896
Julian Jarrold,0.003104595293827769
Anand Tucker,0.003824460967802036
Robert Vince,0.01373135621390481
Stu Livingston,0.011898159711785549
Haissam Hussain,0.04016177577125658
Shlok Sharma,0.02159928301135232
Kathryn Bigelow,0.013573438075199347
Amit Rai,0.01635960769190458
Rajkumar Hirani,0.015252837828347358
Abbas Tyrewala,0.02062245052122677
Mike Newell,0.0027031478177757555
Castille Landon,0.008741316970811699
Gulzar,0.018887600595511707
Karen J. Lloyd,0.04064976850035314
Joe Johnston,0.005719077694841498
Tom Hooper,0.00368887984772843
Sam Taylor-Johnson,0.004759298479404136
Adam Nimoy,0.0030741274601558924
Raj Kanwar,0.015406017110263332
Tanveer Khan,0.012406642624892534
Kieran Darcy-Smith,0.003669963027001907
Jaivi Dhanda,0.016218887590978524
Apoorva Lakhia,0.014578759735985028
Matthew Vaughn,0.00504132502340355
Partho Ghosh,0.01906290929063332
A. Salaam,0.013258077551992592
Vishal Mishra,0.009794574573887993
Rick Morales,0.013196699335696624
Kushal Srivastava,0.018570192141249782
Jarrad Paul,0.006009508095702928
Akiva Schaffer,0.004123432663524793
Frank Paur,0.011822544773498771
Jeeva,0.01643192488262911
Steve Antin,0.019890075049674594
Hiromasa Yonebayashi,0.012246707648799895
Gauri Shinde,0.018759792561017345
Nancy Meyers,0.004055190699798912
Deniz Gamze Ergüven,0.017810513231098585
Sam Raimi,0.004914829436908925
Amy Poehler,0.004974052171514284
Shyam Benegal,0.01072926877349785
Kavi Raz,0.004663750404248438
Benjamin Arfmann,0.0039362406952726135
Karthik Subbaraj,0.03208930225226113
Nikhil Nagesh Bhat,0.007296489828955042
Satish Kaushik,0.01423378039095255
Claude Barras,0.004068039313531926
Mike Gunther,0.00746471966436005
Samit Kakkad,0.011688829508173787
Ben Shelton,0.005858310626702997
Roger Allers,0.007551261372779267
Amarpreet G S Chabbra,0.11366043063889869
John Irvin,0.00587943438352766
Lone Scherfig,0.00467000753554038
Chris Sivertson,0.002619128083812099
Byron Howard,0.009534930500452546
Nalan Kumarasamy,0.030734427908829638
Wayne Orr,0.012000556870388417
Ethan Coen,0.009332951695810587
James Ponsoldt,0.004805914972273568
Kristian Levring,0.0026877133105802048
Andrew Stanton,0.002472904075362123
Steve Boettcher,0.014339764325323474
Anu Menon,0.012775591878209312
Devika Bhagat,0.014887776997598905
Aziz Mirza,0.014378669296169915
Andrew Duncan,0.07219768836549995
Paul Schrader,0.012997032640949554
Don Bluth,0.005251799935068655
Manish Jha,0.013447366196038493
Bauddhayan Mukherji,0.018706584113560857
Anand Tiwari,0.01616134960652184
Mitch Schauer,0.025430523217502086
Varun Narvekar,0.014612187369662452
Scott Martin,0.013370388200796534
Neill Blomkamp,0.03746472510021949
Mario Van Peebles,0.01669101198198106
Girish Joshi,0.012048192771084338
Andrew Bujalski,0.005030068414773696
