node,value
Lana Wachowski,0.42477064220183486
Frank Miller,0.36342229199372056
Tamara Jenkins,0.36428009441384734
Raja Menon,0.36087295401402963
Clint Eastwood,0.42594296228150874
Prakash Mehra,0.35975135975135974
Tomm Moore,0.42244525547445255
Elaine Bogan,0.3460388639760837
Mathieu Kassovitz,0.36428009441384734
Prem Soni,0.35506134969325154
Rajiv Mehra,0.37338709677419357
Gaëtan Brizzi,0.42244525547445255
Stu Livingston,0.4054290718038529
Roman Coppola,0.35975135975135974
David Beier,0.3639937106918239
Suparn Verma,0.3721864951768489
Tigmanshu Dhulia,0.35725308641975306
Gurudev Bhalla,0.44221585482330467
Sarah Adina Smith,0.35891472868217056
Raman Kumar,0.35289634146341464
Rajesh Mapuskar,0.36171875
Tanuja Chandra,0.35835913312693496
Ethan Coen,0.4159928122192273
Chandra Barot,0.3580819798917247
Milan Luthria,0.3884228187919463
Sergio Pablos,0.3534351145038168
Jeff Baena,0.42321755027422303
Joel Crawford,0.35697764070932925
Edgar Wright,0.3829611248966088
Kevin Smith,0.42477064220183486
Paul Weitz,0.4294990723562152
Mastan Alibhai Burmawalla,0.46115537848605576
Peter Segal,0.36951316839584997
Adam McKay,0.423992673992674
Pamela Romanowsky,0.34707646176911544
Shirish Kunder,0.4367924528301887
Victor Levin,0.34655688622754494
George C. Wolfe,0.36342229199372056
Kevin Deters,0.38013136288998356
Onir,0.37069655724579664
Robbie Grewal,0.35670261941448383
Sanjay Leela Bhansali,0.35780525502318394
Prabhu Deva,0.3628526645768025
Raj Kaushal,0.36143637782982047
Girish Malik,0.3537051184110008
Mark Henn,0.38013136288998356
Andrew Douglas,0.3662974683544304
Eeshwar Nivas,0.35506134969325154
Lauren MacMullan,0.38013136288998356
Abhishek Sharma,0.437204910292729
Johannes Roberts,0.33820306793279764
Rajshree Ojha,0.3545176110260337
David Mirkin,0.37069655724579664
Raja Sen,0.3545176110260337
Werner Herzog,0.3835956917978459
Rahul Dholakia,0.36428009441384734
Bobby Farrelly,0.3591931730023274
Anna Boden,0.34733683420855216
Mark Columbus,0.34733683420855216
Sooraj R. Barjatya,0.42791127541589646
Shivam Nair,0.4343339587242026
Kevin R. Adams,0.3639937106918239
Jocelyn Moorhouse,0.4005190311418685
John Sanford,0.3460388639760837
Dan Bush,0.34044117647058825
Sujeeth,0.35506134969325154
Greg Mottola,0.3611544461778471
Simon Savelyev,0.34733683420855216
Michael Cuesta,0.36143637782982047
Neil Jordan,0.4220601640838651
Karan Johar,0.3848711554447215
Jasbir Bijendra Bhati,0.35478927203065136
David Ayer,0.37308622078968573
Harry Baweja,0.40017286084701814
Meghna Gulzar,0.34681647940074906
Christian Desmares,0.35835913312693496
Adam Shankman,0.4104609929078014
Ryan Murphy,0.35863671572424477
Tom Shadyac,0.4126559714795009
Ryan Fleck,0.34733683420855216
N. Chandra,0.4275161588180979
Amber Tamblyn,0.39538855678906915
Daniel Gray Longino,0.4054290718038529
John Kahrs,0.38013136288998356
James Foley,0.3605919003115265
Avinash Das,0.3335734870317003
Dave Dorsey,0.3639937106918239
Sachin Yardi,0.42910101946246526
Elizabeth Banks,0.47830578512396693
Amit Rai,0.41228851291184326
Peter Ramsey,0.3721864951768489
Jesse Peretz,0.41787003610108303
Leslie Small,0.3575289575289575
Will Eubank,0.35397553516819574
Joe Ksander,0.3639937106918239
Ken Marino,0.37248592115848755
Steve Antin,0.36256851996867656
Sunil Kumar Agrawal,0.4413727359389895
Sidharth Malhotra,0.3537051184110008
Tom Tykwer,0.41674167416741675
Krishna D.K.,0.38744769874476986
Bob Hercules,0.3660079051383399
Lasse Hallström,0.5071193866374589
Rakesh Mehta,0.36514195583596215
David Wain,0.37765089722675366
David Palmer,0.3671689135606661
Paul Haggis,0.36370777690494893
Farah Khan,0.3868003341687552
James Wong,0.35560675883256526
Farhan Akhtar,0.4430622009569378
Madhur Bhandarkar,0.37459546925566345
Derek Cianfrance,0.3553338449731389
Abbas Alibhai Burmawalla,0.46115537848605576
Lawrence Kasdan,0.3887489504617968
Sai Paranjape,0.3553338449731389
Umesh Ghadge,0.3591931730023274
Shadae Lamar Smith,0.34733683420855216
Jeremy David White,0.34733683420855216
Jonathan Levine,0.4130240856378234
Renzil D'Silva,0.4174932371505861
Brian Levant,0.3665874901029295
Remo D'Souza,0.35155656795747914
Aanand Rai,0.3742926434923201
Abhinay Deo,0.4351503759398496
