node,value
Tamara Jenkins,0.00153002549823241
Tomm Moore,0.002184116800444559
Noah Baumbach,0.0024994529042934813
David Ayer,0.0014555264403691426
Steve Loter,0.0013833614327015944
James Gunn,0.006766600083102087
Roman Coppola,0.0013814493765369525
Mahmood Farooqui,0.001876263783834659
Sangeeth Sivan,0.002592323236939822
Ryan Murphy,0.002287808340666173
Gus Van Sant,0.0028694415180826336
Wes Craven,0.0021922858349369048
Puri Jagannadh,0.001875012876335689
Rakesh Mehta,0.0023040261096671814
Marc Abraham,0.0016997930050004584
Sidharth Malhotra,0.001269903468878988
John Lee Hancock,0.0027062594008858665
Bill Plympton,0.002184116800444559
Lee Tamahori,0.0031828850674910387
Mark Dindal,0.001421061405469916
Ashutosh Gowariker,0.0029043936079296774
Michael J. Bassett,0.0013335501936353608
John Duigan,0.0012878289649833556
Indra Kumar,0.002790836221840439
Hoyt Yeatman,0.0015721535991097
Lasse Hallström,0.002385790394990387
Onir,0.0024891528654192325
Manish Jha,0.0024897519711700906
Peter Farrelly,0.007922638666223385
Puneet Sira,0.0016192161845627077
Mike Disa,0.0015216522010269018
Renzil D'Silva,0.002475965398284835
Nila Madhab Panda,0.0017716297574687412
Ketan Mehta,0.003988903085113721
Amber Tamblyn,0.0013251944990413098
Paul Haggis,0.0018625000186238668
Hemant Gaba,0.001494325843308432
Rob Reiner,0.0015065757603271448
Gajendra Ahire,0.0011746861177461875
Michael Carney,0.0012817737210679013
Rajshree Ojha,0.001494325843308432
Gerard Barrett,0.0018323863987282796
George C. Wolfe,0.0012806251338022584
Dharmesh Darshan,0.0029080580814473803
Jasbir Bijendra Bhati,0.0014726220830898118
Jay Baruchel,0.001884164959014809
Anthony Russo,0.002787917927729455
Roger Kumble,0.0014381962152064255
Priyadarshan,0.005322256880471791
Rajat Kapoor,0.0015889218511814923
Edgar Wright,0.0022694621828081903
Ken Marino,0.00266330770135014
Raj Kumar Gupta,0.0014186917843602505
Jeff Baena,0.0015792222467502933
Farhan Akhtar,0.004741112242377526
Rahul Dholakia,0.001951139369325295
Harry Baweja,0.001090511454611976
Jay Roach,0.001902117996063136
Dave Dorsey,0.002245164884815774
Taika Waititi,0.001706109602433604
Jay Chandrasekhar,0.0014629718240804766
Madhur Bhandarkar,0.0036300164235930727
Anant Balani,0.0015928267780831147
Edward Zwick,0.0014686842591700954
Ivan Reitman,0.0017431700549003122
Richard Kelly,0.0013325623146575594
Sarah Kruchowski,0.002076958924999601
Jeremy David White,0.002076958924999601
Phil Johnston,0.00216109360012436
Nagesh Kukunoor,0.0028634209773392193
Richard LaGravenese,0.00135125831486104
Munish Bhardwaj,0.0010508403572376467
Steve Antin,0.001786200595810242
Dominic Sena,0.0023344669628914583
Latif Faiziyev,0.0026317965622217106
Jorge Blanco,0.0015710737447534938
Steve Hickner,0.0020354607729629855
Mukul Anand,0.0019739466419891427
Fabrice Du Welz,0.0016314403880654585
Atom Egoyan,0.002276907156839594
Pramod Pawar,0.0010954561536475134
Jeeva,0.0012660690320478061
Lynn Shelton,0.0014597732711712308
Rodney Rothman,0.0019368975817048266
Daniel Alfredson,0.0014234570666018277
Raja Sen,0.001494325843308432
Prakash Mehra,0.001602143520275289
Vinay Sapru,0.0012496243134428884
R. Balki,0.0022081248538769692
Simon Savelyev,0.002076958924999601
Kyle Newman,0.001404216310446742
Simon J. Smith,0.0020354607729629855
Sudhir Mishra,0.0025867775279076913
Subhash Ghai,0.0038252345333583035
Abbas Alibhai Burmawalla,0.004422137306422154
Mike Flanagan,0.0012700448096592092
Rusty Cundieff,0.006766600083102088
Valli Bindana,0.0012333884304064782
Sam Raimi,0.0037646985579605206
Mark Osborne,0.0027708235433062996
Farah Khan,0.004108601624016993
Gerard McMurray,0.0012452894702560556
Kabir Khan,0.0015449039566191546
Neal Brennan,0.0019118656211339995
Scott Stewart,0.0015790771386426812
Vivek Agnihotri,0.0018107698446045521
James Wong,0.001492509719112632
Umesh Ghadge,0.0011976672505403867
Mark Rosman,0.0013978603143483335
