node,value
Austin Kolodney,9.01395851477974e-05
Vishal Bhardwaj,0.08785017330904157
Chandan Arora,0.058542006544176024
Aanand Rai,0.09361949786042359
James Gunn,0.0012695915352133262
Jennifer Lee,0.0004315701916571189
Sangeeth Sivan,0.10110147819617318
Ryan Murphy,6.729649236955455e-05
Mastan Alibhai Burmawalla,0.14650257573058362
Dean Wellins,0.0004315701916571189
Gus Van Sant,0.000338109158638176
Puri Jagannadh,0.0686485291365331
Justin Kelly,6.729649236955455e-05
David Beier,9.01395851477974e-05
Rakesh Mehta,0.07262706886135027
Will Graham,0.0012695915352133262
Amol Palekar,0.11750282728809462
Stevie Wermers,0.0004315701916571189
Ryan Moody,6.729649236955455e-05
Patrick Osborne,0.0004315701916571189
Ashutosh Gowariker,0.08832607730469876
Hrishikesh Mukherjee,0.07603562723437164
Mark Williams,0.04659872122760956
Werner Herzog,6.729649236955455e-05
Steve Brill,0.0012695915352133262
Amaan Khan,0.12123679915061587
Patrik Forsberg,0.0012695915352133262
Indra Kumar,0.09764406957590875
K.C. Bokadia,0.06663774026677034
Rohit Shetty,0.11803709822231205
Shree Narayan Singh,0.08758125179807723
Manish Jha,0.07807852022014816
Peter Farrelly,0.0012859232675264127
Imtiaz Ali,0.08695271784699482
Renzil D'Silva,0.07846894571916496
Apoorva Lakhia,0.09642051756215023
Jonathan van Tulleken,0.0012695915352133262
Griffin Dunne,0.0012695915352133262
Chris Buck,0.00043293475233630556
Satyajit Bhatkal,0.06032070181573694
Ketan Mehta,0.13361670521952207
Henrik Ruben Genz,6.729649236955455e-05
Shakti Samanta,0.05720941008749058
Mikhil Musale,0.07415827777076675
Rajesh Mapuskar,0.07799267065365444
Lauren MacMullan,0.0004315701916571189
Byron Howard,0.0004315701916571189
Ram Gopal Varma,0.10843686707630612
Dharmendra Suresh Desai,0.06528330404511855
Zoya Akhtar,0.14461004818382672
Satish Kaushik,0.09892859445876187
Brandon Somerhalder,9.013958514779739e-05
John Dahl,0.0008932341708587743
Gurudev Bhalla,0.07038586058086417
Aniruddha Roy Chowdhury,0.053078828286823365
Brett Ratner,0.0012695915352133262
Prawal Raman,0.09057602312615162
Tinnu Anand,0.05565188795164188
Raj N. Sippy,0.058111226756109365
Lauren Hoekstra,6.729649236955455e-05
Surya S.J.,0.10581705012340135
Shivam Nair,0.10260196820257383
Dharmesh Darshan,0.09997386745209719
Raj Kanwar,0.08765805505315305
Abhinay Deo,0.1102096705644987
Abhishek Kapoor,0.07591192855066962
Nathan Greno,0.0004315701916571189
Steve Carr,0.0012695915352133262
K. Subhash,0.0770671640863084
Jon YonKondy,9.01395851477974e-05
