node,label
Kaizad Gustad,0
Prawal Raman,1
Aanand Rai,1
Abhinay Deo,1
Manmohan Desai,0
Dax Shepard,2
Manish Jha,1
Chris Buck,2
John Dahl,3
Prakash Mehra,0
Umesh Mehra,1
Imtiaz Ali,1
Dibakar Banerjee,1
Aziz Mirza,1
Sangeeth Sivan,1
Rajiv Mehra,1
Krishna Vamshi,1
David Beier,3
Shyam Benegal,1
Byron Howard,2
Ken Kwapis,2
Rakeysh Omprakash Mehra,1
Aniruddha Roy Chowdhury,0
Raj Kanwar,1
Anees Bazmee,1
Gurudev Bhalla,1
Apoorva Lakhia,0
Rajesh Mapuskar,1
Ethan Coen,3
Vipul Amrutlal Shah,1
Ribhu Dasgupta,0
Will Lowell,3
Tinnu Anand,0
Chandra Barot,0
Milan Luthria,1
Shakti Samanta,0
Brandon Somerhalder,3
Will Graham,2
Rajkumar Santoshi,1
Mastan Alibhai Burmawalla,1
Stevie Wermers,2
Nathan Greno,2
Raj N. Sippy,0
Zoya Akhtar,1
Surya S.J.,0
Pamela Romanowsky,3
Shirish Kunder,1
Jon YonKondy,3
Dharmendra Suresh Desai,1
Hrishikesh Mukherjee,0
Kevin Deters,2
Ayaan Mukherji,1
Kundan Shah,1
Mahesh Manjrekar,1
Amaan Khan,0
Peter Farrelly,2
Rajkumar Hirani,1
Henrik Ruben Genz,3
Mahesh Bhatt,1
Sujoy Ghosh,0
Reema Kagti,1
Partho Ghosh,1
Mark Henn,2
Lauren MacMullan,2
Abhishek Sharma,1
Chandan Arora,1
Nikhil Advani,1
Werner Herzog,3
Rahul Dholakia,1
Lauren Miller Rogen,2
Steve Brill,2
Mark Columbus,3
Sooraj R. Barjatya,1
Shivam Nair,1
Vivek Agnihotri,1
Ashutosh Gowariker,1
Satyajit Bhatkal,1
Griffin Dunne,2
Santosh Sivan,1
Rusty Cundieff,2
Xu Zhang,3
Sarah Kruchowski,3
Gus Van Sant,3
Ryan Moody,3
Satish Kaushik,1
Dan Bush,3
Neeraj Pandey,1
Fuwad Khan,1
Simon Savelyev,3
Karan Johar,0
Mukul Anand,1
Lauren Hoekstra,3
Shree Narayan Singh,1
Jonathan van Tulleken,2
Harmony Korine,3
Leena Yadav,0
Rohit Shetty,1
Austin Kolodney,3
Mike Gabriel,2
Puri Jagannadh,0
Steve Carr,2
Indra Kumar,1
Ryan Murphy,3
Joel Coen,3
Samir Karnik,0
James Duffy,2
Ketan Mehta,1
Ahishor Solomon,1
David Dhawan,1
Mark Osborne,3
Subhash Ghai,1
N. Chandra,1
Bejoy Nambiar,0
John Kahrs,2
Anthony D'Souza,1
Dave Dorsey,3
Sachin Yardi,1
Elizabeth Banks,2
Justin Kelly,3
Sudhir Mishra,1
Amit Rai,1
James Gunn,2
Dean Wellins,2
Sam Raimi,3
Priyadarshan,1
Mark Williams,2
Ken Marino,2
Steve Antin,2
Sunil Kumar Agrawal,0
Patrick Osborne,2
Abhishek Kapoor,1
Mahin Ibrahim,3
Mani Ratnam,1
Vishal Bhardwaj,1
Anurag Kashyap,0
Drue Metz,3
Rakesh Mehta,1
David Palmer,2
Latif Faiziyev,1
Farah Khan,1
Nishikant Kamat,1
Krish,1
Ram Gopal Varma,1
Amol Palekar,0
Farhan Akhtar,1
Madhur Bhandarkar,1
Alana Waksman,3
Abbas Alibhai Burmawalla,1
Kookie V. Gulati,1
Mikhil Musale,1
Anurag Basu,1
Shadae Lamar Smith,3
K. Subhash,1
Vanita Shastry,3
Umesh Shukla,1
Jennifer Lee,2
Jeremy David White,3
Brett Ratner,2
K.C. Bokadia,1
Patrik Forsberg,2
Nagesh Kukunoor,1
Kunal Deshmukh,1
Renzil D'Silva,1
Roger Allers,2
Shakun Batra,1
Prakash Jha,0
Dharmesh Darshan,1
