node,label
Ron Clements,0
Mark Osborne,0
Stevie Wermers,0
Scott Aukerman,0
Ethan Coen,0
Sam Raimi,0
Ryan Murphy,0
Stuart Baird,0
James L. Brooks,0
Mark Williams,0
Lana Wachowski,0
Joann Sfar,0
Ken Kwapis,0
Louis J. Horvitz,0
Philippe Falardeau,0
Roger Kumble,0
Lauren Hoekstra,0
William Eubank,0
Greg Mottola,0
Lauren Miller Rogen,0
Adam McKay,0
Jay Baruchel,0
Patrick Osborne,0
Richard LaGravenese,0
Jonathan Hensleigh,0
Tomm Moore,0
Lynn Shelton,0
Jorge Blanco,0
Jonathan Demme,0
Lasse Hallström,0
Bryan Singer,0
Rodney Rothman,0
Peyton Reed,0
Peggy Holmes,0
Atom Egoyan,0
Will Lowell,0
Eva Vives,0
Gus Van Sant,0
Steven Soderbergh,0
Brad Anderson,0
Elizabeth Banks,0
Ivan Reitman,0
Jonathan van Tulleken,0
Joe Dante,0
Ross R. Shuman,0
Daniel Gray Longino,0
David Beier,0
Joel Schumacher,0
Mike Disa,0
Jon YonKondy,0
Andrew Douglas,0
Peter Ramsey,0
Mahin Ibrahim,0
Edward Zwick,0
James Duffy,0
Mark Columbus,0
Jeff Baena,0
Douglas McGrath,0
Sofia Coppola,0
Ruben Fleischer,0
Joe Ksander,0
Lawrence Kasdan,0
Akiva Schaffer,0
Franck Ekinci,0
Peter Segal,0
Noah Baumbach,0
Genndy Tartakovsky,0
Dominic Sena,0
Michael Carney,0
Mohammed Saeed Harib,0
Mark Rosman,0
Clark Johnson,0
Joel Crawford,0
Vanita Shastry,0
Michael Cuesta,0
Nathan Greno,0
Roman Coppola,0
Bruce Robinson,0
Paul Weitz,0
David Wain,0
Andy Tennant,0
Steve Hickner,0
Raymie Muzquiz,0
Steve Antin,0
Xu Zhang,0
Mike Gabriel,0
Tom Tykwer,0
Rob Burnett,0
Tony Scott,0
Michael Dowse,0
Hiromasa Yonebayashi,0
Jennifer Lee,0
John Kahrs,0
John Lee Hancock,0
Michael Socha,0
Pete Travis,0
Brian Levant,0
Simon J. Smith,0
Robert Rodriguez,0
Scott Stewart,0
Edgar Wright,0
Taika Waititi,0
Chris Williams,0
Ted Demme,0
Olivier Assayas,0
David Soren,0
Kyle Newman,0
Bill Plympton,0
Ryan Fleck,0
McG,0
Bob Persichetti,0
Daniel Alfredson,0
Lauren MacMullan,0
Paul Haggis,0
Ava DuVernay,0
Dave Dorsey,0
Robert Vince,0
Marc Abraham,0
Gilles Paquet-Brenner,0
Keenen Ivory Wayans,0
John Dahl,0
John Sanford,0
Jason Reitman,0
Craig Brewer,0
David Mirkin,0
Shadae Lamar Smith,0
Gerard Barrett,0
Victor Levin,0
Jay Roach,0
Wes Craven,0
George Clooney,0
James Wong,0
Mike Newell,0
Ron Howard,0
Dax Shepard,0
Peter Farrelly,0
Rob Cohen,0
Deniz Gamze Ergüven,0
Byron Howard,0
Maya Forbes,0
Wally Pfister,0
Will Graham,0
Ken Marino,0
Mark Dindal,0
Ryan Moody,0
Henrik Ruben Genz,0
Leslie Small,0
Chris Buck,0
Anthony Russo,0
Rich Moore,0
Woody Allen,0
Gaby Dellal,0
Jesse Peretz,0
Simon Savelyev,0
David Ayer,0
James Wan,0
Tom Shadyac,0
Paul Brizzi,0
Joan C. Gratz,0
