node,label
Ken Marino,0
Chandan Arora,1
Jeremy David White,2
Amit Rai,1
Syed Ahmad Afzal,3
Pamela Romanowsky,2
Mahesh Bhatt,1
Leslye Headland,0
Anurag Basu,1
Austin Kolodney,2
Joel Crawford,0
Shree Narayan Singh,1
Anusha Rizvi,1
Sandeep Mohan,3
Gaby Dellal,0
Satish Kaushik,1
Mukul Anand,1
Ava DuVernay,0
Sofia Coppola,0
Werner Herzog,2
Scott Stewart,0
Danny Boyle,0
Lee Tamahori,0
Phil Johnston,0
Rajkumar Santoshi,1
Joe Dante,4
Kundan Shah,1
Clint Eastwood,0
Lauren MacMullan,0
Johannes Roberts,0
Louis Leterrier,4
Frank Miller,0
Neeraj Pandey,1
Hiromasa Yonebayashi,0
Tomm Moore,4
Mike Disa,0
Sidharth Malhotra,1
Christian Desmares,0
Dax Shepard,0
Ajay Phansekar,1
Sam Raimi,2
Gabriele Muccino,0
Steve Loter,0
Fuwad Khan,1
Dominic Sena,0
Pa. Ranjith,3
Khalid Mohamed,1
Ken Kwapis,0
Deniz Gamze Ergüven,0
Amaan Khan,1
Chandra Barot,1
Sarah Adina Smith,2
Wes Craven,0
Rakeysh Omprakash Mehra,1
Justin Kelly,2
John Sanford,0
Mark Williams,4
Paul Brizzi,4
Robert Vince,0
Louis J. Horvitz,0
Michael Bay,0
Peter Farrelly,0
Farhan Akhtar,1
Sohail Tatari,1
Jonathan van Tulleken,0
Jonathan Demme,0
Milan Luthria,1
David Fincher,0
Peter Ramsey,0
Kaizad Gustad,1
Joan C. Gratz,4
Dibakar Banerjee,1
Sujeeth,1
Ribhu Dasgupta,1
Raja Sen,3
Xu Zhang,2
Raj Kumar Gupta,1
N. Chandra,1
Abhishek Kapoor,1
Leslie Small,0
Shyam Benegal,1
Antoine Fuqua,0
Mastan Alibhai Burmawalla,1
Reema Kagti,1
Troy Miller,0
Mark Columbus,2
Mark Rosman,2
Shaad Ali,1
Lawrence Kasdan,0
Shivam Nair,1
Vivek Agnihotri,1
Adam Shankman,0
Raj Kaushal,1
Mathieu Kassovitz,0
Madhur Bhandarkar,1
Michael Socha,4
Gerard McMurray,0
Suparn Verma,3
Meghna Gulzar,1
Steve Brill,0
Sangeeth Sivan,1
Shekhar Kapur,1
Sai Paranjape,1
Rob Cohen,0
Gerard Barrett,0
Bedabrata Pain,1
Raj Kanwar,1
Remo D'Souza,1
John Dahl,2
Will Lowell,2
Neal Brennan,0
Vishal Bhardwaj,1
Bob Hercules,0
Bobby Farrelly,2
Latif Faiziyev,1
Dave Dorsey,2
Apoorva Lakhia,1
Bejoy Nambiar,1
Ryan Murphy,2
Umesh Mehra,1
Abhishek Chaubey,1
Ross R. Shuman,0
Joe Russo,0
Tom Shadyac,0
John Kahrs,0
Leena Yadav,1
Aniruddha Roy Chowdhury,1
Girish Malik,1
Anubhav Sinha,1
Scott Aukerman,0
Jon YonKondy,2
Surya S.J.,1
David Ayer,0
Martin Scorsese,0
Paul Weitz,4
John Musker,0
Priyadarshan,1
Pramod Pawar,1
Ed Gass-Donnelly,0
Harry Baweja,1
Jason Reitman,0
Jasbir Bijendra Bhati,1
Samar Khan,1
Wally Pfister,0
Quentin Tarantino,0
Tanveer Khan,1
Sudhish Kamath,3
Woody Allen,0
Ashutosh Gowariker,1
Atom Egoyan,4
Rajesh Mapuskar,1
William Eubank,2
Santosh Sivan,1
N. Linguswamy,1
Kevin Smith,0
Michael J. Bassett,1
Joe Ksander,0
Raymie Muzquiz,4
Chris Buck,0
Anu Menon,3
Brandon Somerhalder,2
Andy Tennant,0
Jay Baruchel,0
Puneet Sira,1
Krishna D.K.,3
Munish Bhardwaj,1
Neil Jordan,0
Dan Bush,2
Rita Coburn Whack,0
Philippe Falardeau,0
Sandeep Reddy Vanga,1
Patrik Forsberg,0
Brad Anderson,0
Marc Abraham,0
Prakash Jha,1
Sudhir Mishra,1
Fabrice Du Welz,4
Henrik Ruben Genz,2
Andrew Douglas,0
John Duigan,1
Abhinav Shiv Tiwari,3
Elizabeth Banks,0
Rob Reiner,0
Krishna Vamshi,1
Will Graham,0
Nishikant Kamat,1
Jorge Blanco,0
Peggy Holmes,0
Steven Spielberg,4
Anurag Kashyap,1
Byron Howard,0
Lilly Wachowski,0
Ravi Udyawar,1
Gus Van Sant,2
Maya Forbes,0
Craig Gillespie,0
Raj N. Sippy,1
Shadae Lamar Smith,2
Raj Nidimoru,3
Tarun Mansukhani,1
McG,0
Dean Wellins,0
Mark Henn,0
Kevin R. Adams,0
Hoyt Yeatman,0
Shirish Kunder,1
Anees Bazmee,1
Mandeep Kumar,1
Prem Soni,1
Ted Demme,0
Tom Tykwer,0
David Palmer,0
Pete Travis,0
Rodney Rothman,0
Brian Levant,0
George Clooney,4
Akiva Schaffer,0
Clark Johnson,0
Jill Culton,0
Rajiv Mehra,1
Lasse Hallström,0
Daniel Alfredson,0
Sujoy Ghosh,1
Paul Haggis,0
Saurabh Kabra,1
Radhika Rao,1
Anand Tiwari,1
Ketan Mehta,1
Bob Persichetti,0
Jonathan Levine,0
Gauravv K Chawla,3
David Dhawan,1
Avinash Das,3
Michael Carney,0
Eeshwar Nivas,1
Subhash Ghai,1
Indra Kumar,1
Gurudev Bhalla,1
Rajat Kapoor,1
Tigmanshu Dhulia,1
James Gunn,0
Mark Dindal,0
Taika Waititi,0
Rahul Dholakia,1
Pratim D. Gupta,3
Praveen Nischol,1
Qaushiq Mukherjee,3
Krish,1
Stu Livingston,4
Keenen Ivory Wayans,0
Partho Ghosh,1
Farah Khan,1
Craig Brewer,0
Anthony D'Souza,1
James L. Brooks,0
Rich Moore,0
Gilles Paquet-Brenner,0
Roger Kumble,0
Tamara Jenkins,0
Karan Anshuman,1
Ivan Reitman,0
Paul Thomas Anderson,4
Umesh Ghadge,1
Faraz Haider,1
Manish Jha,1
Lauren Miller Rogen,0
Dharmendra Suresh Desai,1
Rohit Shetty,1
David Beier,2
Adam McKay,0
Sanjay Leela Bhansali,1
Stevie Wermers,0
Manmohan Desai,1
Bryan Singer,4
Prakash Mehra,1
Simon Savelyev,2
Imtiaz Ali,1
Jay Roach,0
Gauri Shinde,1
Param Gill,1
Samir Karnik,1
Joann Sfar,4
Raj Kapoor,1
Shakti Samanta,1
Will Eubank,2
Sudip Bandyopadhyay,1
Edward Zwick,0
James Wan,2
Lauren Hoekstra,2
Nalan Kumarasamy,3
Rajkumar Hirani,1
George C. Wolfe,0
Mike Newell,0
Kyle Newman,2
Sriram Raghavan,3
Jennifer Lee,0
Kees Van Oostrum,0
Franck Ekinci,0
Ethan Coen,2
Aziz Mirza,1
Mikhil Musale,1
Timothy Reckart,0
Karan Johar,1
Rakesh Mehta,1
Brett Ratner,0
Mani Ratnam,1
Devika Bhagat,1
Harmony Korine,2
Prabhuraj,1
Mahin Ibrahim,2
Joel Coen,2
Sagar Sarhadi,1
Gideon Raff,0
Mohammed Saeed Harib,4
Michael Cuesta,0
Tony Scott,0
Jeeva,1
Rajshree Ojha,3
Ananth Narayan Mahadevan,1
James Wong,0
Ken Ghosh,1
Alana Waksman,2
Derek Cianfrance,0
Onir,3
R. Balki,3
Shakun Batra,1
Douglas McGrath,0
Anil Sharma,1
Steve Antin,0
Tanuja Chandra,1
Mahmood Farooqui,1
Sarah Kruchowski,2
Valli Bindana,1
Prabhu Deva,1
Bill Plympton,4
Sergio Pablos,0
Nagesh Kukunoor,1
Anthony Russo,0
Kabir Khan,1
Mike Flanagan,0
Ayaan Mukherji,1
Sunil Kumar Agrawal,1
Raman Kumar,1
Lars von Trier,0
Nina Paley,4
Sajid Khan,1
Gregory Hoblit,0
Steven Brill,0
Edgar Wright,0
Rusty Cundieff,0
James Mangold,0
Robert Luketic,0
Richard Kelly,4
Steve Hickner,0
Sachin Kamlakar Khot,1
Steve Carr,0
Prakash Balwant Saini,1
Kabir Sadanand,1
Genndy Tartakovsky,0
Anant Balani,1
Paritosh Painter,1
Kunal Deshmukh,1
Rob Burnett,0
Vanita Shastry,2
Noah Baumbach,0
Amber Tamblyn,4
Kookie V. Gulati,1
Ron Clements,0
Nikhil Advani,1
Michael Dowse,0
Chris Williams,0
Dharmesh Darshan,1
Jocelyn Moorhouse,0
Satyajit Bhatkal,1
Lana Wachowski,0
Ron Howard,0
Robert Rodriguez,0
Gurinder Chadha,3
Brad Peyton,0
Zoya Akhtar,1
Renzil D'Silva,1
Jay Chandrasekhar,0
David Wain,0
Aanand Rai,1
Simon J. Smith,0
Puri Jagannadh,1
Prawal Raman,1
Daniel Gray Longino,4
Sean Hanish,4
David Soren,0
Vinay Sapru,1
Jesse Peretz,0
Roman Coppola,0
Drue Metz,2
Barry Sonnenfeld,0
Ruben Fleischer,0
Raaghav Dar,1
Joel Schumacher,0
Pia Sukanya,3
Raja Menon,1
Steve Boettcher,0
Roger Allers,0
Ira Sachs,4
Peter Segal,0
Olivier Assayas,0
Amol Palekar,1
Michael D. Black,0
Lynn Shelton,0
Mike Gabriel,0
Abhinay Deo,1
John Lee Hancock,0
Sam Mendes,0
Chandra Prakash Dwivedi,1
Kevin Deters,0
James Foley,0
Stuart Baird,0
Nathan Greno,0
Elaine Bogan,0
Ram Gopal Varma,1
Eva Vives,0
Shelly Chopra Dhar,1
Sachin Yardi,1
Jeff Baena,0
Sameer Sharma,3
David Mirkin,0
Saket Chaudhary,1
Bruce Robinson,0
Mahesh Manjrekar,1
Ryan Moody,2
Terry Gilliam,0
Mark Osborne,2
Griffin Dunne,0
Steven Soderbergh,0
Anna Boden,0
K.C. Bokadia,1
Gajendra Ahire,1
Abhishek Sharma,1
Ryan Fleck,0
Richard LaGravenese,0
Shashilal K. Nair,1
Ahishor Solomon,1
Tom Gianas,0
Vipul Amrutlal Shah,1
Peter Jackson,4
Gaëtan Brizzi,4
Greg Mottola,0
Victor Levin,4
Frank Coraci,0
Billy Ray,4
Hemant Gaba,3
Abbas Alibhai Burmawalla,1
Tinnu Anand,1
Sanjay Dayma,1
Jonathan Hensleigh,0
Peyton Reed,0
Umesh Shukla,1
Nila Madhab Panda,1
Robbie Grewal,1
Hrishikesh Mukherjee,1
James Duffy,0
