source_director,target_director
Richard Finn,Frank Paur
Richard Finn,Karen J. Lloyd
Richard Finn,Alexandre Heboyan
Richard Finn,Tim Maltby
Richard Finn,Jay Surridge
Richard Finn,Benoît Philippon
Richard Finn,Jorge Blanco
Richard Finn,Ezekiel Norton
Richard Finn,Sam Liu
Richard Finn,Michael Goguen
Richard Finn,Conrad Helten
Tim Maltby,Frank Paur
Tim Maltby,Karen J. Lloyd
Tim Maltby,Alexandre Heboyan
Tim Maltby,Steve Ball
Tim Maltby,Jay Surridge
Tim Maltby,Benoît Philippon
Tim Maltby,Jorge Blanco
Tim Maltby,Ezekiel Norton
Tim Maltby,Sam Liu
Tim Maltby,Michael Goguen
Tim Maltby,Conrad Helten
Fernando Lebrija,Robert Luketic
Fernando Lebrija,Tom Shadyac
Fernando Lebrija,Brandon Dickerson
Fernando Lebrija,Scott Stewart
Fernando Lebrija,Christopher Guest
Fernando Lebrija,Vadim Jean
Fernando Lebrija,Michael Gallagher
Fernando Lebrija,Ezekiel Norton
Fernando Lebrija,Michael Goguen
Fernando Lebrija,Peyton Reed
Fernando Lebrija,Oren Uziel
Fernando Lebrija,Conrad Helten
Gabe Ibáñez,Steven Soderbergh
Gabe Ibáñez,Hans Petter Moland
Gabe Ibáñez,Quentin Tarantino
Gabe Ibáñez,Rick Benattar
Gabe Ibáñez,Rob Minkoff
Gabe Ibáñez,Eshom Nelms
Gabe Ibáñez,John Irvin
Gabe Ibáñez,Bharat Nalluri
Gabe Ibáñez,Bob Nelson
Gabe Ibáñez,Bryan Buckley
Gabe Ibáñez,Isaac Florentine
Gabe Ibáñez,Ian Nelms
Gabe Ibáñez,Lesli Linka Glatter
Gabe Ibáñez,Jon Gunn
Gabe Ibáñez,Paul Andrew Williams
Gabe Ibáñez,Martin Campbell
Gabe Ibáñez,Paul Solet
Gabe Ibáñez,Jonathan Demme
Gabe Ibáñez,Michael Radford
Gabe Ibáñez,Terry Loane
Gabe Ibáñez,Robert Rodriguez
Gabe Ibáñez,Alain Desrochers
Gabe Ibáñez,Antoine Fuqua
Gabe Ibáñez,Evan Katz
Rodrigo Toro,Elvis Fuentes
Rodrigo Toro,Belén Soto
Rodrigo Toro,Constanza Piccoli
Rodrigo Toro,Samuel Landea
Rodrigo Toro,Denise Rosenthal
Rodrigo Toro,Camilo Carmona
Rodrigo Toro,Ingrid Cruz
Rodrigo Toro,Esteban Vidal
Rodrigo Toro,Agustín Silva
Rodrigo Toro,Francisco Schultz
Rodrigo Toro,Fabiola Alarcón
Rodrigo Toro,Lucas Balmaceda
Francisco Schultz,Elvis Fuentes
Francisco Schultz,Belén Soto
Francisco Schultz,Constanza Piccoli
Francisco Schultz,Samuel Landea
Francisco Schultz,Denise Rosenthal
Francisco Schultz,Camilo Carmona
Francisco Schultz,Ingrid Cruz
Francisco Schultz,Esteban Vidal
Francisco Schultz,Agustín Silva
Francisco Schultz,Fabiola Alarcón
Francisco Schultz,Lucas Balmaceda
Henrik Ruben Genz,Lennart Ruff
Henrik Ruben Genz,Justin Kelly
Henrik Ruben Genz,David Beier
Henrik Ruben Genz,Werner Herzog
Henrik Ruben Genz,Sarah Kruchowski
Henrik Ruben Genz,David Mackenzie
Henrik Ruben Genz,Neil Burger
Henrik Ruben Genz,Austin Kolodney
Henrik Ruben Genz,Mark Osborne
Henrik Ruben Genz,Sam Raimi
Henrik Ruben Genz,Drue Metz
Henrik Ruben Genz,Jon YonKondy
Henrik Ruben Genz,Gus Van Sant
Henrik Ruben Genz,Mahin Ibrahim
Henrik Ruben Genz,Ryan Moody
Henrik Ruben Genz,Mark Columbus
Henrik Ruben Genz,Joel Coen
Henrik Ruben Genz,Shadae Lamar Smith
Henrik Ruben Genz,Ryan Murphy
Henrik Ruben Genz,Alana Waksman
Henrik Ruben Genz,Vanita Shastry
Henrik Ruben Genz,Kathryn Bigelow
Henrik Ruben Genz,Xu Zhang
Henrik Ruben Genz,Brandon Somerhalder
Henrik Ruben Genz,Ethan Coen
Henrik Ruben Genz,Dave Dorsey
Henrik Ruben Genz,Zach Braff
Henrik Ruben Genz,John Dahl
Henrik Ruben Genz,Jeremy David White
Henrik Ruben Genz,Antonin Baudry
Henrik Ruben Genz,Harmony Korine
Henrik Ruben Genz,Dan Bush
Henrik Ruben Genz,Simon Savelyev
Henrik Ruben Genz,Will Lowell
Henrik Ruben Genz,Lauren Hoekstra
Henrik Ruben Genz,Tom Edmunds
Henrik Ruben Genz,Pamela Romanowsky
Daniel Alfredson,Lennart Ruff
Daniel Alfredson,Brad Anderson
Daniel Alfredson,Keenen Ivory Wayans
Daniel Alfredson,Bette Gordon
Daniel Alfredson,John Crowley
Daniel Alfredson,Brendan Malloy
Daniel Alfredson,Andrew Loo
Daniel Alfredson,Lone Scherfig
Daniel Alfredson,Ted Demme
Daniel Alfredson,Lana Wachowski
Daniel Alfredson,Robert Luketic
Daniel Alfredson,Louis Leterrier
Daniel Alfredson,Michael Cuesta
Daniel Alfredson,Leif Tilden
Daniel Alfredson,Derek Cianfrance
Daniel Alfredson,Deane Taylor
Daniel Alfredson,Tom Tykwer
Daniel Alfredson,Rob Cohen
Daniel Alfredson,Ron Howard
Daniel Alfredson,Taika Waititi
Daniel Alfredson,Emmett Malloy
Daniel Alfredson,Steven Spielberg
Daniel Alfredson,John Fortenberry
Daniel Alfredson,Noah Baumbach
Daniel Alfredson,Lilly Wachowski
Daniel Alfredson,Steve Hickner
Daniel Alfredson,McG
Daniel Alfredson,Simon J. Smith
Daniel Alfredson,Gregory Hoblit
Daniel Alfredson,Martin Campbell
Daniel Alfredson,David Mirkin
Daniel Alfredson,John Dahl
Daniel Alfredson,George Mendeluk
Daniel Alfredson,Massy Tadjedin
Daniel Alfredson,Julie Taymor
Daniel Alfredson,Mike Newell
Daniel Alfredson,Peter DeLuise
Daniel Alfredson,Zack Snyder
Daniel Alfredson,Ben C. Lucas
Daniel Alfredson,Andy Fickman
Daniel Alfredson,James Ivory
Daniel Alfredson,Fernando Meirelles
Daniel Alfredson,Jonathan Mostow
Daniel Alfredson,Andrew Lau Wai-Keung
Daniel Alfredson,Chad Van De Keere
Tom O'Brien,Lesli Linka Glatter
Tom O'Brien,Mike Newell
Tom O'Brien,Martin Scorsese
Tom O'Brien,Gillian Robespierre
Tom O'Brien,Kelly Reichardt
Tom O'Brien,Dominic Sena
Tom O'Brien,Adam Leon
Tom O'Brien,Chris Sparling
Tom O'Brien,Danny Boyle
Antoine Bardou-Jacquet,Larry Latham
Antoine Bardou-Jacquet,Brian Smith
Antoine Bardou-Jacquet,Philippe Falardeau
Antoine Bardou-Jacquet,Seth Henrikson
Antoine Bardou-Jacquet,Ricky Gervais
Antoine Bardou-Jacquet,Nicolas Winding Refn
Antoine Bardou-Jacquet,Ekachai Uekrongtham
Antoine Bardou-Jacquet,Guillermo del Toro
Antoine Bardou-Jacquet,Dominic Sena
Antoine Bardou-Jacquet,Larry Elikann
Antoine Bardou-Jacquet,Ben Palmer
Antoine Bardou-Jacquet,Daniel Stamm
Brad Anderson,Kavi Raz
Brad Anderson,Lennart Ruff
Brad Anderson,Tarsem Singh
Brad Anderson,Clint Eastwood
Brad Anderson,Lone Scherfig
Brad Anderson,Lana Wachowski
Brad Anderson,Colin Teague
Brad Anderson,Lars von Trier
Brad Anderson,Brian Helgeland
Brad Anderson,Guy Ritchie
Brad Anderson,Michael J. Bassett
Brad Anderson,Leena Yadav
Brad Anderson,Robert Luketic
Brad Anderson,Louis Leterrier
Brad Anderson,Christopher Nolan
Brad Anderson,Julia Hart
Brad Anderson,Bob Nelson
Brad Anderson,Frank Coraci
Brad Anderson,James McTeigue
Brad Anderson,Robert Schwentke
Brad Anderson,Joel Coen
Brad Anderson,Max Martini
Brad Anderson,Tom Tykwer
Brad Anderson,James Marsh
Brad Anderson,Rob Cohen
Brad Anderson,Philipp Stölzl
Brad Anderson,Steven Spielberg
Brad Anderson,Adam Smith
