source_director,target_director
Julius Onah,Ava DuVernay
Julius Onah,Quentin Tarantino
Julius Onah,Christopher Guest
Julius Onah,Danny Boyle
Julius Onah,Steven Spielberg
Julius Onah,Lilly Wachowski
Julius Onah,Lana Wachowski
Julius Onah,Kevin Munroe
Julius Onah,J.C. Chandor
Julius Onah,Jay Roach
Julius Onah,Vincent Perez
Julius Onah,Will Gluck
Julius Onah,Stephanie Laing
Julius Onah,Kazuaki Kiriya
Ian MacAllister-McDonald,Nicole Holofcener
Ian MacAllister-McDonald,Martin Scorsese
Ian MacAllister-McDonald,David Mackenzie
Ian MacAllister-McDonald,John Lee Hancock
Ian MacAllister-McDonald,Gerard Barrett
Ian MacAllister-McDonald,Kyle Patrick Alvarez
Ian MacAllister-McDonald,Kyle Newman
Ian MacAllister-McDonald,Mark Columbus
Ian MacAllister-McDonald,Lauren Hoekstra
Ian MacAllister-McDonald,Sarah Kruchowski
Ian MacAllister-McDonald,Ryan Moody
Ian MacAllister-McDonald,Simon Savelyev
Ian MacAllister-McDonald,Vanita Shastry
Ian MacAllister-McDonald,Shadae Lamar Smith
Ian MacAllister-McDonald,Jeremy David White
Mark Steven Johnson,Austin Stark
Mark Steven Johnson,Mario Van Peebles
Mark Steven Johnson,Lee Tamahori
Mark Steven Johnson,Andrzej Bartkowiak
Mark Steven Johnson,Alex Proyas
Mark Steven Johnson,Andy Tennant
Mark Steven Johnson,Oliver Stone
Mark Steven Johnson,Jason Reitman
Mark Steven Johnson,David Fincher
Mark Steven Johnson,David R. Ellis
Mark Steven Johnson,Sam Mendes
Mark Steven Johnson,Derek Cianfrance
Mark Steven Johnson,Tommy O'Haver
Mark Steven Johnson,Hoyt Yeatman
Mark Steven Johnson,Jonathan Baker
Mark Steven Johnson,Peter Ramsey
Mark Steven Johnson,Rodney Rothman
Mark Steven Johnson,Bob Persichetti
Mark Steven Johnson,Jon Turteltaub
Mark Steven Johnson,Dominic Sena
Mark Steven Johnson,Maria Pulera
Mark Steven Johnson,Vic Armstrong
Mark Steven Johnson,Ben Brewer
Mark Steven Johnson,Rob W. King
Mark Steven Johnson,Paul Schrader
Mark Steven Johnson,Alex Brewer
Mark Steven Johnson,Massy Tadjedin
Osgood Perkins,Mario Van Peebles
Osgood Perkins,Saul Dibb
Osgood Perkins,Robert Altman
Osgood Perkins,Àlex Pastor
Osgood Perkins,John Lee Hancock
Osgood Perkins,Ernie Barbarash
Osgood Perkins,Mike Gunther
Osgood Perkins,Christopher Guest
Osgood Perkins,Robert Zemeckis
Osgood Perkins,Harmony Korine
Osgood Perkins,David Pastor
Osgood Perkins,Scott Hicks
Osgood Perkins,Steven Knight
Osgood Perkins,John R. Leonetti
Osgood Perkins,Jonathan Hensleigh
Osgood Perkins,Alexandre Aja
Osgood Perkins,Brad Peyton
Osgood Perkins,Justin Kelly
Osgood Perkins,M. Night Shyamalan
Osgood Perkins,Luke Snellin
Stuart Baird,Wolfgang Petersen
Stuart Baird,Tony Scott
Stuart Baird,Michael D. Black
Stuart Baird,Deniz Gamze Ergüven
Stuart Baird,Griffin Dunne
Stuart Baird,Quentin Tarantino
Stuart Baird,Steve Brill
Stuart Baird,Rusty Cundieff
Stuart Baird,Lee Tamahori
Stuart Baird,Andrzej Bartkowiak
Stuart Baird,Brian Levant
Stuart Baird,Leslie Small
Stuart Baird,James Duffy
Stuart Baird,Will Graham
Stuart Baird,Dominic Sena
Stuart Baird,James Gunn
Stuart Baird,Patrik Forsberg
Stuart Baird,Michael Cuesta
Stuart Baird,Peter Chelsom
Stuart Baird,Robert Zemeckis
Stuart Baird,Mathieu Kassovitz
Stuart Baird,Tom Tykwer
Stuart Baird,Elizabeth Banks
Stuart Baird,Brett Ratner
Stuart Baird,Gonzalo López-Gallego
Stuart Baird,Sally Potter
Stuart Baird,Peter Farrelly
Stuart Baird,Jonathan Sobol
Stuart Baird,Jonathan van Tulleken
Stuart Baird,James Foley
Stuart Baird,Steve Carr
Stuart Baird,Jon Avnet
Stuart Baird,Beeban Kidron
Stuart Baird,Lana Wachowski
Stuart Baird,Lilly Wachowski
Stuart Baird,G.J. Echternkamp
Stuart Baird,Susanne Bier
Stuart Baird,Andrew Fleming
Stuart Baird,Matt Shakman
Stuart Baird,Mark Rosman
Matthew Vaughn,Deniz Gamze Ergüven
Matthew Vaughn,John Crowley
Matthew Vaughn,Edward Zwick
Matthew Vaughn,Robert Altman
Matthew Vaughn,Steven Spielberg
Matthew Vaughn,Sarah Gavron
Matthew Vaughn,Lilly Wachowski
Matthew Vaughn,Lana Wachowski
Matthew Vaughn,Anna Boden
Matthew Vaughn,Rob Marshall
Matthew Vaughn,Yorgos Lanthimos
Matthew Vaughn,Albert Hughes
Matthew Vaughn,John Hillcoat
Matthew Vaughn,Ryan Fleck
Matthew Vaughn,Tom Tykwer
Matthew Vaughn,Iain Softley
Matthew Vaughn,Tom Hooper
Matthew Vaughn,Steven Knight
Matthew Vaughn,Nicholas Stoller
Matthew Vaughn,Christopher Nolan
Matthew Vaughn,Gurinder Chadha
Matthew Vaughn,Brian Helgeland
Matthew Vaughn,Allen Hughes
Charles Martin Smith,Timothy Woodward Jr.
Charles Martin Smith,Clint Eastwood
Charles Martin Smith,Lee Tamahori
Charles Martin Smith,Martin Scorsese
Charles Martin Smith,Rob Reiner
Charles Martin Smith,Antoine Fuqua
Charles Martin Smith,Lasse Hallström
Charles Martin Smith,Wally Pfister
Charles Martin Smith,Joe Johnston
Charles Martin Smith,Meghan O'Hara
Charles Martin Smith,Richard Loncraine
Charles Martin Smith,Timothy Reckart
Charles Martin Smith,Chris McCoy
Charles Martin Smith,Gary Fleder
Charles Martin Smith,Alejandro G. Iñárritu
Charles Martin Smith,Richard LaGravenese
Charles Martin Smith,Chad Van De Keere
Charles Martin Smith,Kazuaki Kiriya
Charles Martin Smith,Tom Shadyac
Philipp Stölzl,Brad Anderson
Philipp Stölzl,Alain Desrochers
Philipp Stölzl,Scott Hicks
Philipp Stölzl,Antoine Fuqua
Philipp Stölzl,Leena Yadav
Philipp Stölzl,Steven Spielberg
Philipp Stölzl,Marco Schnabel
Philipp Stölzl,Leif Tilden
Philipp Stölzl,Gideon Raff
Philipp Stölzl,Bruce Robinson
Philipp Stölzl,Lars von Trier
Philipp Stölzl,Pierre Morel
Philipp Stölzl,Marti Noxon
Philipp Stölzl,Tarsem Singh
Philipp Stölzl,Colin Teague
Noah Baumbach,Daniel Alfredson
Noah Baumbach,Nicole Holofcener
Noah Baumbach,Roger Kumble
Noah Baumbach,Clint Eastwood
Noah Baumbach,Phillip Noyce
Noah Baumbach,Dennis Dugan
Noah Baumbach,Rian Johnson
Noah Baumbach,Griffin Dunne
