source,target
N. Linguswamy,Rajkumar Hirani
N. Linguswamy,Priyadarshan
N. Linguswamy,Madhur Bhandarkar
N. Linguswamy,Dharmesh Darshan
N. Linguswamy,Shivam Nair
N. Linguswamy,Prakash Jha
N. Linguswamy,Bedabrata Pain
N. Linguswamy,Mastan Alibhai Burmawalla
N. Linguswamy,Nishikant Kamat
N. Linguswamy,Aanand Rai
N. Linguswamy,Leena Yadav
N. Linguswamy,Abbas Alibhai Burmawalla
N. Linguswamy,Prawal Raman
N. Linguswamy,Amaan Khan
N. Linguswamy,Khalid Mohamed
N. Linguswamy,Rakeysh Omprakash Mehra
N. Linguswamy,Neeraj Pandey
N. Linguswamy,Sanjay Dayma
N. Linguswamy,Mani Ratnam
N. Linguswamy,Prabhu Deva
Jonathan Hensleigh,Troy Miller
Jonathan Hensleigh,Ryan Murphy
Jonathan Hensleigh,Clint Eastwood
Jonathan Hensleigh,Griffin Dunne
Jonathan Hensleigh,Quentin Tarantino
Jonathan Hensleigh,Steve Brill
Jonathan Hensleigh,Barry Sonnenfeld
Jonathan Hensleigh,Rusty Cundieff
Jonathan Hensleigh,Lee Tamahori
Jonathan Hensleigh,Antoine Fuqua
Jonathan Hensleigh,Steven Spielberg
Jonathan Hensleigh,Brett Ratner
Jonathan Hensleigh,Neil Jordan
Jonathan Hensleigh,Frank Coraci
Jonathan Hensleigh,Adam Shankman
Jonathan Hensleigh,Steve Carr
Jonathan Hensleigh,Philippe Falardeau
Jonathan Hensleigh,Taika Waititi
Jonathan Hensleigh,Justin Kelly
Jonathan Hensleigh,Peyton Reed
Jonathan Hensleigh,Dominic Sena
Jonathan Hensleigh,Elizabeth Banks
Jonathan Hensleigh,Will Graham
Jonathan Hensleigh,James Gunn
Jonathan Hensleigh,Tom Shadyac
Jonathan Hensleigh,Jonathan van Tulleken
Jonathan Hensleigh,Paul Weitz
Jonathan Hensleigh,Patrik Forsberg
Jonathan Hensleigh,Marc Abraham
Jonathan Hensleigh,George C. Wolfe
Jonathan Hensleigh,James Duffy
Jonathan Hensleigh,Peter Farrelly
Joann Sfar,Kevin R. Adams
Joann Sfar,Joe Ksander
Joann Sfar,Ken Kwapis
Joann Sfar,Roger Allers
Joann Sfar,Barry Sonnenfeld
Joann Sfar,Martin Scorsese
