node,label
Tom Hanks,0
John C. Reilly,0
Lennard Kuras,0
Matt Damon,0
Cameron Diaz,0
Jim Broadbent,0
Sam Shepard,0
Diane Ladd,0
Bob Dylan,0
Anne Collette,0
Hal Holbrook,0
Brendan Gleeson,0
Kate Capshaw,0
Peter Mullan,0
Leonardo DiCaprio,0
Jared Harris,0
Małgorzata Gebel,0
Marin Ireland,0
Alfred Lutter,0
Cesare Danova,0
Igor Jijikine,0
Ric Young,0
Steve Eastin,0
David Proval,0
Nathalie Baye,0
Karen Allen,0
John Rhys-Davies,0
Al Pacino,0
Jonathan Sagall,0
Roger McGuinn,0
Louis Cancelmi,0
Ray Romano,0
Rainer Bock,0
Anna Paquin,0
Leonard Harris,0
Steven Van Zandt,0
Nicholas Colasanto,0
Ramblin' Jack Elliott,0
Amy Robinson,0
Shmulik Levy,0
Harvey Keitel,0
Wolf Kahler,0
Daniel Mays,0
Christopher Walken,0
Patrick Kennedy,0
Andrzej Seweryn,0
Theresa Saldana,0
Nicolas Bro,0
Martin Sheen,0
Roy Chiao,0
Joni Mitchell,0
Harrison Ford,0
Sharon Stone,0
Joe Pesci,0
Joseph Bono,0
Gad Elmaleh,0
Robert De Niro,0
Mark Wahlberg,0
Henry Thomas,0
Stephen Graham,0
David Yip,0
Anne Waldman,0
Alec Baldwin,0
Beatrice Macola,0
Vic Tablian,0
James Brolin,0
Kris Kristofferson,0
Mario Gallo,0
Brian Howe,0
Vera Farmiga,0
Niels Arestrup,0
David Thewlis,0
Richard Romanus,0
Anthony Anderson,0
John Hurt,0
Benedict Cumberbatch,0
Amy Adams,0
Jeremy Irvine,0
Jonathan Ke Quan,0
Ronee Blakley,0
Patti Smith,0
Joe Starr,0
David Strathairn,0
Jackie Earle Haley,0
Liam Neeson,0
Jesse Plemons,0
Ellen Burstyn,0
Tom Hiddleston,0
Frank Adonis,0
Philip Stone,0
Ray Winstone,0
Alfred Molina,0
Roshan Seth,0
Ronnie Hawkins,0
Gary Basaraba,0
Sebastian Maniscalco,0
Victor Argo,0
Mark Ivanir,0
Eddie Marsan,0
Gary Lewis,0
Stephanie Kurtzuba,0
Jodie Foster,0
Simon Pegg,0
Lelia Goldoni,0
Lane Bradbury,0
Denholm Elliott,0
Ronald Lacey,0
Friedrich von Thun,0
David Oyelowo,0
Peter Boyle,0
Michael Byrne,0
Murray Moston,0
