node,label
Jaideep Ahlawat,0
Mrunal Thakur,0
Katrina Kaif,0
Kris Kristofferson,1
Rajkummar Rao,0
Stephen Merchant,2
Anna Paquin,1
Shia LaBeouf,3
Ben Kingsley,3
Robert De Niro,1
Sharon Stone,1
Kevin Corrigan,1
David Kross,3
Chris Pratt,2
Nitish Pandey,0
Frank Vincent,1
David Oyelowo,3
Amitabh Bachchan,0
Sean Connery,3
Halle Berry,2
Nathalie Baye,3
Allen Ginsberg,1
Christopher Walken,3
Vinay Pathak,0
Zina Bethune,1
Wolf Kahler,3
Bhumi Pednekar,0
Ronnie Hawkins,1
Leslie Bibb,2
Adam Ferrara,2
Tom Hiddleston,3
Archana Puran Singh,0
Neha Chauhan,0
Janhvi Kapoor,0
David Yip,3
Tommy Lee Jones,3
Roy Chiao,3
Siobhan Fallon Hogan,2
Greg Kinnear,2
Andrzej Seweryn,3
Domenick Lombardozzi,1
Anshuman Jha,0
Amy Adams,3
Anne Collette,1
Liam Neeson,3
River Phoenix,3
Seann William Scott,2
Peter Boyle,1
Manjot Singh,0
Amrish Puri,3
Chandan Anand,0
Philip Stone,3
Common,2
Theresa Saldana,1
Keir O'Donnell,2
Jonathan Ke Quan,3
Emma Stone,2
Shruti,0
Steve Eastin,3
Frank John Hughes,3
Shmulik Levy,3
Jesse Plemons,1
Amit Sial,0
Uma Thurman,2
Jacob Hopkins,2
Supriya Pathak,0
Randeep Jha,0
Matt Walsh,2
James Spader,3
Liev Schreiber,2
John Hurt,3
Josh Duhamel,2
Diane Ladd,1
Ronee Blakley,1
Arya Banerjee,0
Adam Pally,2
Jared Harris,3
Peter Mullan,3
Simon Pegg,3
Anjelica Huston,2
Michael Byrne,3
Stephanie Kurtzuba,1
Steve Zahn,2
James Brolin,3
Lennard Kuras,1
Kate Winslet,2
Lisa Edelstein,2
Frank Adonis,1
Mark Ivanir,3
Sadashiv Amrapurkar,0
Neil Bhoopalam,0
Kiara Advani,0
Martin Sheen,3
Victor Argo,1
Diana Penty,0
John Hawkes,3
Anna Faris,2
John Rhys-Davies,3
Chua Kah Joo,3
Kiran Juneja,0
Henry Thomas,1
Leonard Harris,1
Matt Damon,1
Tom Hanks,3
Nick Frost,3
Lacey Chabert,2
John C. Reilly,1
Richard Romanus,1
Neha Dhupia,0
Harry Northup,1
Toby Kebbell,3
Kalki Koechlin,0
Peter Gerety,2
